t,value
1593703382,4297523200
1593703387,4297523200
1593703392,4297523200
1593703397,4297523200
1593703402,4297523200
1593703407,4297523200
1593703412,4297523200
1593703417,4297523200
1593703422,4297523200
1593703427,4297523200
1593703432,4297523200
1593703437,4297523200
1593703442,4297523200
1593703447,4297523200
1593703452,4297523200
1593703457,4297523200
1593703462,4297523200
1593703467,4297523200
1593703472,4297523200
1593703477,4297523200
1593703482,4297523200
1593703487,4297523200
1593703492,4297523200
1593703497,4297523200
1593703502,4297523200
1593703507,4297523200
1593703512,4297523200
1593703517,4297523200
1593703522,4297523200
1593703527,4297523200
1593703532,4297523200
1593703537,4297523200
1593703542,4297523200
1593703547,4297523200
1593703552,4297523200
1593703557,4297523200
1593703562,4297523200
1593703567,4297523200
1593703572,4297523200
1593703577,4297523200
1593703582,4297523200
1593703587,4297523200
1593703592,4297523200
1593703597,4297523200
1593703602,4297523200
1593703607,4297523200
1593703612,4297523200
1593703617,4297523200
1593703622,4297523200
1593703627,4297523200
1593703632,4297523200
1593703637,4297523200
1593703642,4297523200
1593703647,4297523200
1593703652,4297523200
1593703657,4297523200
1593703662,4297523200
1593703667,4297523200
1593703672,4297523200
1593703677,4297523200
1593703682,4297523200
1593703687,4297523200
1593703692,4297523200
1593703697,4297523200
1593703702,4297523200
1593703707,4297523200
1593703712,4297523200
1593703717,4297523200
1593703722,4297523200
1593703727,4297523200
1593703732,4297523200
1593703737,4297523200
1593703742,4297523200
1593703747,4297523200
1593703752,4297523200
1593703757,4297523200
1593703762,4297523200
1593703767,4297523200
1593703772,4297523200
1593703777,4297523200
1593703782,4297523200
1593703787,4297523200
1593703792,4297523200
1593703797,4297523200
1593703802,4297523200
1593703807,4297523200
1593703812,4297523200
1593703817,4297523200
1593703822,4297523200
1593703827,4297523200
1593703832,4297523200
1593703837,4297523200
1593703842,4297523200
1593703847,4297523200
1593703852,4297523200
1593703857,4297523200
1593703862,4297523200
1593703867,4297523200
1593703872,4297523200
1593703877,4297523200
1593703882,4297523200
1593703887,4297523200
1593703892,4297523200
1593703897,4297523200
1593703902,4297523200
1593703907,4297523200
1593703912,4297523200
1593703917,4297523200
1593703922,4297523200
1593703927,4297523200
1593703932,4297523200
1593703937,4297523200
1593703942,4297523200
1593703947,4297523200
1593703952,4297523200
1593703957,4297523200
1593703962,4297523200
1593703967,4297523200
1593703972,4297523200
1593703977,4297523200
1593703982,4297523200
1593703987,4297523200
1593703992,4297523200
1593703997,4297523200
1593704002,4297523200
1593704007,4297523200
1593704012,4297523200
1593704017,4297523200
1593704022,4297523200
1593704027,4297523200
1593704032,4297523200
1593704037,4297523200
1593704042,4297523200
1593704047,4297523200
1593704052,4297523200
1593704057,4297523200
1593704062,4297523200
1593704067,4297523200
1593704072,4297523200
1593704077,4297523200
1593704082,4297523200
1593704087,4297523200
1593704092,4297523200
1593704097,4297523200
1593704102,4297523200
1593704107,4297523200
1593704112,4297523200
1593704117,4297523200
1593704122,4297523200
1593704127,4297523200
1593704132,4297523200
1593704137,4297523200
1593704142,4297523200
1593704147,4297523200
1593704152,4297523200
1593704157,4297523200
1593704162,4297523200
1593704167,4297523200
1593704172,4297523200
1593704177,4297523200
1593704182,4297523200
1593704187,4297523200
1593704192,4297523200
1593704197,4297523200
1593704202,4297523200
1593704207,4297523200
1593704212,4297523200
1593704217,4297523200
1593704222,4297523200
1593704227,4297523200
1593704232,4297523200
1593704237,4297523200
1593704242,4297523200
1593704247,4297523200
1593704252,4297523200
1593704257,4297523200
1593704262,4297523200
1593704267,4297523200
1593704272,4297523200
1593704277,4297523200
1593704282,4297523200
1593704287,4297523200
1593704292,4297523200
1593704297,4297523200
1593704302,4297523200
1593704307,4297523200
1593704312,4297523200
1593704317,4297523200
1593704322,4297523200
1593704327,4297523200
1593704332,4297523200
1593704337,4297523200
1593704342,4297523200
1593704347,4297523200
1593704352,4297523200
1593704357,4297523200
1593704362,4297523200
1593704367,4297523200
1593704372,4297523200
1593704377,4297523200
1593704382,4297523200
1593704387,4297523200
1593704392,4297523200
1593704397,4297523200
1593704402,4297523200
1593704407,4297523200
1593704412,4297523200
1593704417,4297523200
1593704422,4297523200
1593704427,4297523200
1593704432,4297523200
1593704437,4297523200
1593704442,4297523200
1593704447,4297523200
1593704452,4297523200
1593704457,4297523200
1593704462,4297523200
1593704468,4297523200
1593704472,4297523200
1593704477,4297523200
1593704482,4297523200
1593704487,4297523200
1593704492,4297523200
1593704497,4297523200
1593704502,4297523200
1593704507,4297523200
1593704512,4297523200
1593704517,4297523200
1593704522,4297523200
1593704527,4297523200
1593704532,4297523200
1593704537,4297523200
1593704542,4297523200
1593704547,4297523200
1593704552,4297523200
1593704557,4297523200
1593704562,4297523200
1593704567,4297523200
1593704572,4297523200
1593704577,4297523200
1593704582,4297523200
1593704587,4297523200
1593704592,4297523200
1593704597,4297523200
1593704602,4297523200
1593704607,4297523200
1593704612,4297523200
1593704617,4297523200
1593704622,4297523200
1593704627,4297523200
1593704632,4297523200
1593704637,4297523200
1593704642,4297523200
1593704647,4297523200
1593704652,4297523200
1593704657,4297523200
1593704662,4297523200
1593704667,4297523200
1593704672,4297523200
1593704677,4297523200
1593704682,4297523200
1593704687,4297523200
1593704692,4297523200
1593704697,4297523200
1593704702,4297523200
1593704707,4297523200
1593704712,4297523200
1593704717,4297523200
1593704722,4297523200
1593704727,4297523200
1593704732,4297523200
1593704737,4297523200
1593704742,4297523200
1593704747,4297523200
1593704752,4297523200
1593704757,4297523200
1593704762,4297523200
1593704767,4297523200
1593704772,4297523200
1593704777,4297523200
1593704782,4297523200
1593704787,4297523200
1593704792,4297523200
1593704797,4297523200
1593704802,4297523200
1593704807,4297523200
1593704812,4297523200
1593704817,4297523200
1593704822,4297523200
1593704827,4297523200
1593704832,4297523200
1593704837,4297523200
1593704842,4297523200
1593704847,4297523200
1593704852,4297523200
1593704857,4297523200
1593704862,4297523200
1593704867,4297523200
1593704872,4297523200
1593704877,4297523200
1593704882,4297523200
1593704887,4297523200
1593704892,4297523200
1593704897,4297523200
1593704902,4297523200
1593704907,4297523200
1593704912,4297523200
1593704917,4297523200
1593704922,4297523200
1593704927,4297523200
1593704932,4297523200
1593704937,4297523200
1593704942,4297523200
1593704947,4297523200
1593704952,4297523200
1593704957,4297523200
1593704962,4297523200
1593704967,4297523200
1593704972,4297523200
1593704977,4297523200
1593704982,4297523200
1593704987,4297523200
1593704992,4297523200
1593704997,4297523200
1593705002,4297523200
1593705007,4297523200
1593705012,4297523200
1593705017,4297523200
1593705022,4297523200
1593705027,4297523200
1593705032,4297523200
1593705037,4297523200
1593705042,4297523200
1593705047,4297523200
1593705052,4297523200
1593705057,4297523200
1593705062,4297523200
1593705067,4297523200
1593705072,4297523200
1593705077,4297523200
1593705082,4297523200
1593705087,4297523200
1593705092,4297523200
1593705097,4297523200
1593705102,4297523200
1593705107,4297523200
1593705112,4297523200
1593705117,4297523200
1593705122,4297523200
1593705127,4297523200
1593705132,4297523200
1593705137,4297523200
1593705142,4297523200
1593705147,4297523200
1593705152,4297523200
1593705157,4297523200
1593705162,4297523200
1593705167,4297523200
1593705172,4297523200
1593705177,4297523200
1593705182,4297523200
1593705187,4297523200
1593705192,4297523200
1593705197,4297523200
1593705202,4297523200
1593705207,4297523200
1593705212,4297523200
1593705217,4297523200
1593705222,4297523200
1593705227,4297523200
1593705232,4297523200
1593705237,4297523200
1593705242,4297523200
1593705247,4297523200
1593705252,4297523200
1593705257,4297523200
1593705262,4297523200
1593705267,4297523200
1593705272,4297523200
1593705277,4297523200
1593705282,4297523200
1593705287,4297523200
1593705292,4297523200
1593705297,4297523200
1593705302,4297523200
1593705307,4297523200
1593705312,4297523200
1593705317,4297523200
1593705322,4297523200
1593705327,4297523200
1593705332,4297523200
1593705337,4297523200
1593705342,4297523200
1593705347,4297523200
1593705352,4297523200
1593705357,4297523200
1593705362,4297523200
1593705367,4297523200
1593705372,4297523200
1593705377,4297523200
1593705382,4297523200
1593705387,4297523200
1593705392,4297523200
1593705397,4297523200
1593705402,4297523200
1593705407,4297523200
1593705412,4297523200
1593705417,4297523200
1593705422,4297523200
1593705427,4297523200
1593705432,4297523200
1593705437,4297523200
1593705442,4297523200
1593705447,4297523200
1593705452,4297523200
1593705457,4297523200
1593705462,4297523200
1593705468,4297523200
1593705472,4297523200
1593705477,4297523200
1593705482,4297523200
1593705487,4297523200
1593705492,4297523200
1593705497,4297523200
1593705502,4297523200
1593705507,4297523200
1593705512,4297523200
1593705517,4297523200
1593705522,4297523200
1593705527,4297523200
1593705532,4297523200
1593705537,4297523200
1593705542,4297523200
1593705547,4297523200
1593705552,4297523200
1593705557,4297523200
1593705562,4297523200
1593705567,4297523200
1593705572,4297523200
1593705577,4297523200
1593705582,4297523200
1593705587,4297523200
1593705592,4297523200
1593705597,4297523200
1593705602,4297523200
1593705607,4297523200
1593705612,4297523200
1593705617,4297523200
1593705622,4297523200
1593705627,4297523200
1593705632,4297523200
1593705637,4297523200
1593705642,4297523200
1593705647,4297523200
1593705652,4297523200
1593705657,4297523200
1593705662,4297523200
1593705667,4297523200
1593705672,4297523200
1593705677,4297523200
1593705682,4297523200
1593705687,4297523200
1593705692,4297523200
1593705697,4297523200
