t,count
1593703382,0
1593703387,0
1593703392,0
1593703397,0
1593703402,0
1593703407,0
1593703412,0
1593703417,0
1593703422,0
1593703427,0
1593703432,0
1593703437,0
1593703442,0
1593703447,0
1593703452,0
1593703457,0
1593703462,0
1593703467,0
1593703472,0
1593703477,0
1593703482,0
1593703487,0
1593703492,0
1593703497,0
1593703502,0
1593703507,0
1593703512,0
1593703517,0
1593703522,0
1593703527,0
1593703532,0
1593703537,0
1593703542,0
1593703547,0
1593703552,0
1593703557,0
1593703562,0
1593703567,0
1593703572,0
1593703577,0
1593703582,0
1593703587,0
1593703592,0
1593703597,0
1593703602,0
1593703607,0
1593703612,0
1593703617,0
1593703622,0
1593703627,0
1593703632,0
1593703637,0
1593703642,0
1593703647,0
1593703652,0
1593703657,0
1593703662,0
1593703667,0
1593703672,0
1593703677,0
1593703682,0
1593703687,0
1593703692,0
1593703697,0
1593703702,0
1593703707,0
1593703712,0
1593703717,0
1593703722,0
1593703727,0
1593703732,0
1593703737,0
1593703742,0
1593703747,0
1593703752,0
1593703757,0
1593703762,0
1593703767,0
1593703772,0
1593703777,0
1593703782,0
1593703787,0
1593703792,0
1593703797,0
1593703802,0
1593703807,0
1593703812,0
1593703817,0
1593703822,0
1593703827,0
1593703832,0
1593703837,0
1593703842,0
1593703847,0
1593703852,0
1593703857,0
1593703862,0
1593703867,0
1593703872,0
1593703877,0
1593703882,0
1593703887,0
1593703892,0
1593703897,0
1593703902,0
1593703907,0
1593703912,0
1593703917,0
1593703922,0
1593703927,0
1593703932,0
1593703937,0
1593703942,0
1593703947,0
1593703952,0
1593703957,0
1593703962,0
1593703967,0
1593703972,0
1593703977,0
1593703982,0
1593703987,0
1593703992,0
1593703997,0
1593704002,0
1593704007,0
1593704012,0
1593704017,0
1593704022,0
1593704027,0
1593704032,0
1593704037,0
1593704042,0
1593704047,0
1593704052,0
1593704057,0
1593704062,0
1593704067,0
1593704072,0
1593704077,0
1593704082,0
1593704087,0
1593704092,0
1593704097,0
1593704102,0
1593704107,0
1593704112,0
1593704117,0
1593704122,0
1593704127,0
1593704132,0
1593704137,0
1593704142,0
1593704147,0
1593704152,0
1593704157,0
1593704162,0
1593704167,0
1593704172,0
1593704177,0
1593704182,0
1593704187,0
1593704192,0
1593704197,0
1593704202,0
1593704207,0
1593704212,0
1593704217,0
1593704222,0
1593704227,0
