timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,6,18,0.005866,1,0.000000,0.005866,0.005866,4
1593703387,14,42,0.005866,1,0.000000,0.005866,0.005866,5
1593703392,19,59,0.007059,3,0.000915,0.008133,0.008133,3
1593703397,28,86,0.007059,3,0.000915,0.008133,0.008133,5
1593703402,37,114,0.007059,3,0.000915,0.008133,0.008133,5
1593703407,45,138,0.039075,5,0.048822,0.127431,0.127431,5
1593703412,54,165,0.033684,6,0.045127,0.127431,0.127431,5
1593703417,63,192,0.029955,8,0.038551,0.127431,0.127431,5
1593703422,70,214,0.029955,8,0.038551,0.127431,0.127431,4
1593703427,79,241,0.029955,8,0.038551,0.127431,0.127431,5
1593703432,87,266,0.028423,9,0.035633,0.127431,0.127431,5
1593703437,96,293,0.071661,10,0.109503,0.323915,0.323915,5
1593703442,105,320,0.071661,10,0.109503,0.323915,0.323915,5
1593703447,114,347,0.058955,13,0.092422,0.323915,0.323915,5
1593703452,122,372,0.058955,13,0.092422,0.323915,0.323915,5
1593703457,132,402,0.068847,14,0.090936,0.323915,0.323915,6
1593703462,138,423,0.079218,15,0.090615,0.323915,0.323915,4
1593703467,146,448,0.079218,15,0.090615,0.323915,0.323915,5
1593703472,155,475,0.073049,16,0.086988,0.323915,0.323915,5
1593703477,165,505,0.077540,17,0.082904,0.323915,0.323915,6
1593703482,174,532,0.071573,18,0.080403,0.323915,0.323915,5
1593703487,183,560,0.067157,19,0.077447,0.162185,0.323915,6
1593703492,193,590,0.062633,20,0.074815,0.162185,0.323915,6
1593703497,202,618,0.052790,22,0.071030,0.162185,0.323915,6
1593703502,212,648,0.053844,24,0.068106,0.162185,0.323915,6
1593703507,222,678,0.053844,24,0.068106,0.162185,0.323915,6
1593703512,231,706,0.047399,26,0.064405,0.162185,0.323915,6
1593703517,241,737,0.045107,27,0.062264,0.162185,0.323915,6
1593703522,251,769,0.076496,30,0.116651,0.442068,0.442068,6
1593703527,258,794,0.076728,32,0.112035,0.442068,0.442068,6
1593703532,269,827,0.072115,33,0.109914,0.442068,0.442068,7
1593703537,278,856,0.058126,37,0.100910,0.323915,0.442068,6
1593703542,288,887,0.059191,38,0.098244,0.323915,0.442068,6
1593703547,299,920,0.056502,39,0.096196,0.166274,0.442068,7
1593703552,310,953,0.053741,40,0.094044,0.166274,0.442068,7
1593703557,320,983,0.051064,41,0.091878,0.166274,0.442068,6
1593703562,331,1016,0.048403,42,0.089881,0.166274,0.442068,7
1593703567,342,1049,0.046184,43,0.087523,0.166274,0.442068,7
1593703572,352,1080,0.053963,45,0.086094,0.166274,0.442068,6
1593703577,363,1113,0.053228,48,0.082774,0.166274,0.442068,7
1593703582,375,1149,0.051015,49,0.081102,0.162185,0.442068,7
1593703587,385,1180,0.048522,50,0.079619,0.162185,0.442068,6
1593703592,394,1210,0.048780,51,0.077441,0.162185,0.442068,6
1593703597,406,1246,0.048780,51,0.077441,0.162185,0.442068,7
1593703602,417,1279,0.049331,53,0.074522,0.149639,0.442068,7
1593703607,428,1313,0.048500,55,0.071445,0.149639,0.442068,7
1593703612,437,1342,0.056159,57,0.072469,0.164225,0.442068,6
1593703617,448,1377,0.056159,57,0.072469,0.164225,0.442068,7
1593703622,456,1404,0.048516,63,0.064292,0.164225,0.323915,5
1593703627,466,1437,0.047422,67,0.064076,0.164225,0.323915,7
1593703632,475,1466,0.047422,67,0.064076,0.164225,0.323915,6
1593703637,484,1496,0.047899,68,0.062618,0.162185,0.323915,6
1593703642,495,1529,0.045848,69,0.061869,0.149675,0.166274,7
1593703647,507,1565,0.044620,72,0.059080,0.149675,0.166274,7
1593703652,519,1601,0.044477,73,0.057793,0.149675,0.166274,7
1593703657,530,1635,0.044477,73,0.057793,0.149675,0.166274,7
1593703662,539,1664,0.047561,75,0.059611,0.149675,0.166274,6
1593703667,549,1697,0.045040,78,0.056364,0.149675,0.166274,7
1593703672,561,1733,0.045040,78,0.056364,0.149675,0.166274,7
1593703677,573,1769,0.041576,80,0.054798,0.149675,0.166274,7
1593703682,585,1805,0.040221,82,0.052664,0.149639,0.164225,7
1593703687,597,1841,0.038501,83,0.052037,0.149639,0.164225,7
1593703692,608,1875,0.040365,87,0.049150,0.146762,0.164225,7
1593703697,618,1908,0.038706,88,0.048686,0.146762,0.164225,7
1593703702,630,1944,0.037134,89,0.048198,0.146762,0.164225,7
1593703707,642,1980,0.035492,90,0.047629,0.146762,0.164225,7
1593703712,653,2014,0.036860,91,0.046862,0.146762,0.164225,7
1593703717,665,2050,0.039297,92,0.046958,0.146762,0.164225,7
1593703722,676,2084,0.039297,92,0.046958,0.146762,0.164225,7
1593703727,687,2119,0.036532,95,0.044218,0.142975,0.164225,7
1593703732,697,2152,0.031244,99,0.041920,0.099703,0.164225,7
1593703737,707,2184,0.030057,100,0.041400,0.099703,0.164225,6
1593703742,719,2220,0.027885,104,0.039333,0.086888,0.149675,7
1593703747,731,2256,0.025025,107,0.037925,0.086888,0.149675,7
1593703752,742,2291,0.035948,109,0.066570,0.149675,0.312248,6
1593703757,753,2326,0.034562,110,0.065560,0.149675,0.312248,8
1593703762,764,2361,0.037546,111,0.065837,0.149639,0.312248,7
1593703767,777,2400,0.037546,111,0.065837,0.149639,0.312248,8
1593703772,788,2434,0.037919,113,0.063251,0.146762,0.312248,7
1593703777,800,2470,0.865769,114,3.872203,0.312248,18.973065,7
1593703782,810,2503,0.705148,119,3.499142,0.312248,18.973065,7
1593703787,822,2539,0.609813,123,3.245845,0.312248,18.973065,7
1593703792,834,2575,0.609813,123,3.245845,0.312248,18.973065,7
1593703797,845,2612,0.586622,124,3.184488,0.312248,18.973065,7
1593703802,856,2647,0.566298,125,3.120669,0.164225,18.973065,7
1593703807,866,2681,0.481789,129,2.881494,0.146762,18.973065,7
1593703812,877,2715,0.465647,130,2.824913,0.146762,18.973065,7
1593703817,889,2751,0.446055,132,2.713327,0.356109,18.973065,7
1593703822,900,2785,0.428456,133,2.660507,0.356109,18.973065,7
1593703827,910,2818,0.371858,137,2.459326,0.312248,18.973065,6
1593703832,920,2852,0.371858,137,2.459326,0.312248,18.973065,7
1593703837,932,2890,0.362875,138,2.407135,0.312248,18.973065,8
1593703842,943,2925,0.337485,140,2.309549,0.312248,18.973065,7
1593703847,955,2963,0.337485,140,2.309549,0.312248,18.973065,8
1593703852,967,2999,0.308142,142,2.208175,0.164225,18.973065,7
1593703857,978,3033,0.272688,145,2.069558,0.159467,18.973065,7
1593703862,990,3069,0.261631,146,2.027534,0.159467,18.973065,7
