timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,6,6,0.000000,0,0.000000,0.000000,0.000000,1
1593703387,14,14,0.306189,2,0.134731,0.442957,0.442957,2
1593703392,19,21,0.311462,3,0.109133,0.442957,0.442957,1
1593703397,28,30,0.535140,4,0.369495,1.107230,1.107230,2
1593703402,37,40,0.535140,4,0.369495,1.107230,1.107230,2
1593703407,45,48,0.535140,4,0.369495,1.107230,1.107230,2
1593703412,54,57,0.450430,5,0.352393,1.107230,1.107230,2
1593703417,63,66,0.450430,5,0.352393,1.107230,1.107230,2
1593703422,70,74,0.450430,5,0.352393,1.107230,1.107230,2
1593703427,79,83,0.450430,5,0.352393,1.107230,1.107230,2
1593703432,87,92,0.450430,5,0.352393,1.107230,1.107230,2
1593703437,96,101,0.450430,5,0.352393,1.107230,1.107230,2
1593703442,105,110,0.450430,5,0.352393,1.107230,1.107230,2
1593703447,114,119,0.412892,6,0.301240,1.107230,1.107230,2
1593703452,122,128,0.396269,7,0.262400,1.107230,1.107230,2
1593703457,132,138,0.377178,8,0.236550,1.107230,1.107230,2
1593703462,138,147,0.377178,8,0.236550,1.107230,1.107230,2
1593703467,146,156,0.355010,10,0.263918,1.107230,1.107230,2
1593703472,155,165,0.388543,11,0.255897,1.107230,1.107230,2
1593703477,165,175,0.388543,11,0.255897,1.107230,1.107230,2
1593703482,174,184,0.388543,11,0.255897,1.107230,1.107230,2
1593703487,183,194,0.329250,12,0.272997,0.619519,1.107230,2
1593703492,193,204,0.329250,12,0.272997,0.619519,1.107230,2
1593703497,202,214,0.329250,12,0.272997,0.619519,1.107230,2
1593703502,212,224,0.354736,13,0.255663,0.619519,1.107230,2
1593703507,222,234,0.354736,13,0.255663,0.619519,1.107230,2
1593703512,231,244,0.354736,13,0.255663,0.619519,1.107230,2
1593703517,241,255,0.354736,13,0.255663,0.619519,1.107230,2
1593703522,251,266,0.293526,15,0.246274,0.619519,1.107230,2
1593703527,258,276,0.324421,16,0.239459,0.619519,1.107230,2
1593703532,269,287,0.324421,16,0.239459,0.619519,1.107230,2
1593703537,278,298,0.279209,17,0.248791,0.619519,1.107230,2
1593703542,288,309,0.286332,19,0.219580,0.619519,1.107230,2
1593703547,299,320,0.294911,20,0.208160,0.577404,1.107230,2
1593703552,310,331,0.271272,21,0.208782,0.577404,1.107230,2
1593703557,320,341,0.271272,21,0.208782,0.577404,1.107230,2
1593703562,331,352,0.253097,22,0.203682,0.577404,0.619519,2
1593703567,342,363,0.253097,22,0.203682,0.577404,0.619519,2
1593703572,352,374,0.253097,22,0.203682,0.577404,0.619519,2
1593703577,363,385,0.255987,23,0.191141,0.577404,0.619519,2
1593703582,375,397,0.255987,23,0.191141,0.577404,0.619519,2
1593703587,385,408,0.297397,24,0.209219,0.583676,0.619519,2
1593703592,394,419,0.297397,24,0.209219,0.583676,0.619519,2
1593703597,406,431,0.297397,24,0.209219,0.583676,0.619519,2
1593703602,417,442,0.297397,24,0.209219,0.583676,0.619519,2
1593703607,428,454,0.283834,25,0.196884,0.583676,0.619519,2
1593703612,437,465,0.305140,26,0.190639,0.583676,0.619519,2
1593703617,448,477,0.267317,27,0.204503,0.583676,0.619519,2
1593703622,456,488,0.267317,27,0.204503,0.583676,0.619519,2
1593703627,466,500,0.267317,27,0.204503,0.583676,0.619519,2
1593703632,475,511,0.269851,28,0.190078,0.583676,0.619519,2
1593703637,484,523,0.269851,28,0.190078,0.583676,0.619519,2
1593703642,495,534,0.269851,28,0.190078,0.583676,0.619519,2
1593703647,507,546,0.269851,28,0.190078,0.583676,0.619519,2
1593703652,519,558,0.271354,30,0.163632,0.583676,0.619519,2
1593703657,530,570,0.279429,31,0.154462,0.583676,0.583676,2
1593703662,539,581,0.279429,31,0.154462,0.583676,0.583676,2
1593703667,549,593,0.279429,31,0.154462,0.583676,0.583676,2
1593703672,561,605,0.297731,33,0.138415,0.504609,0.583676,2
1593703677,573,617,0.287111,34,0.133801,0.504609,0.583676,2
1593703682,585,629,0.277116,35,0.129163,0.482259,0.583676,2
1593703687,597,641,0.277116,35,0.129163,0.482259,0.583676,2
1593703692,608,653,0.263133,36,0.127880,0.442957,0.583676,2
1593703697,618,665,0.263133,36,0.127880,0.442957,0.583676,2
1593703702,630,677,0.263133,36,0.127880,0.442957,0.583676,2
1593703707,642,689,0.263133,36,0.127880,0.442957,0.583676,2
1593703712,653,701,0.263133,36,0.127880,0.442957,0.583676,2
1593703717,665,713,0.256216,37,0.119353,0.439915,0.583676,2
1593703722,676,725,0.281345,39,0.124673,0.469868,0.583676,2
1593703727,687,737,0.288490,40,0.119072,0.469868,0.583676,2
1593703732,697,749,0.255091,43,0.132745,0.469868,0.583676,2
1593703737,707,761,0.255091,43,0.132745,0.469868,0.583676,2
1593703742,719,773,0.277044,44,0.143403,0.487074,0.583676,2
1593703747,731,785,0.284340,45,0.138503,0.487074,0.583676,2
1593703752,742,798,0.269315,46,0.140788,0.487074,0.577404,2
1593703757,753,810,0.269315,46,0.140788,0.487074,0.577404,3
1593703762,764,822,0.269315,46,0.140788,0.487074,0.577404,2
1593703767,777,835,0.269315,46,0.140788,0.487074,0.577404,3
1593703772,788,847,0.269315,46,0.140788,0.487074,0.577404,2
1593703777,800,859,0.276887,48,0.142856,0.487074,0.504609,2
1593703782,810,871,0.276887,48,0.142856,0.487074,0.504609,2
1593703787,822,883,0.296794,49,0.146715,0.487074,0.487074,2
1593703792,834,895,0.305275,50,0.141140,0.487074,0.487074,2
1593703797,845,908,0.305275,50,0.141140,0.487074,0.487074,3
1593703802,856,920,0.305275,50,0.141140,0.487074,0.487074,2
1593703807,866,933,0.288479,52,0.162948,0.469868,0.487074,3
1593703812,877,945,0.269103,53,0.164891,0.469868,0.487074,2
1593703817,889,957,0.269103,53,0.164891,0.469868,0.487074,2
1593703822,900,969,0.269103,53,0.164891,0.469868,0.487074,2
1593703827,910,982,0.269103,53,0.164891,0.469868,0.487074,3
1593703832,920,994,0.269103,53,0.164891,0.469868,0.487074,2
1593703837,932,1007,0.294200,54,0.167887,0.469868,0.487074,3
1593703842,943,1019,0.294200,54,0.167887,0.469868,0.487074,2
1593703847,955,1032,0.298936,56,0.148271,0.469559,0.487074,3
1593703852,967,1044,0.294692,57,0.140526,0.469559,0.487074,2
1593703857,978,1056,0.294692,57,0.140526,0.469559,0.487074,2
1593703862,990,1068,0.294692,57,0.140526,0.469559,0.487074,2
1593703867,1001,1080,0.294692,57,0.140526,0.469559,0.487074,2
1593703872,1013,1092,0.291700,58,0.131607,0.469559,0.487074,2
1593703877,1023,1105,0.291700,58,0.131607,0.469559,0.487074,3
1593703882,1033,1117,0.291700,58,0.131607,0.469559,0.487074,2
1593703887,1043,1130,0.276645,60,0.132200,0.469559,0.487074,3
1593703892,1053,1142,0.276645,60,0.132200,0.469559,0.487074,2
1593703897,1064,1154,0.276056,62,0.134819,0.469559,0.487074,2
1593703902,1077,1167,0.258753,63,0.136325,0.469559,0.487074,3
1593703907,1088,1179,0.261433,64,0.129111,0.469559,0.487074,2
1593703912,1100,1191,0.261433,64,0.129111,0.469559,0.487074,2
1593703917,1112,1203,0.261433,64,0.129111,0.469559,0.487074,2
1593703922,1121,1216,0.261433,64,0.129111,0.469559,0.487074,3
