timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,6,12,1.535098,2,1.470601,3.005698,3.005698,3
1593703387,14,28,1.014268,3,1.386936,3.005698,3.005698,3
1593703392,19,38,1.014268,3,1.386936,3.005698,3.005698,2
1593703397,28,56,1.014268,3,1.386936,3.005698,3.005698,4
1593703402,37,74,1.014268,3,1.386936,3.005698,3.005698,4
1593703407,45,90,1.014268,3,1.386936,3.005698,3.005698,3
1593703412,54,108,0.682946,4,1.223126,3.005698,3.005698,4
1593703417,63,126,0.526873,5,1.084876,3.005698,3.005698,4
1593703422,70,140,0.526873,5,1.084876,3.005698,3.005698,3
1593703427,79,158,0.526873,5,1.084876,3.005698,3.005698,4
1593703432,87,174,0.526873,5,1.084876,3.005698,3.005698,3
1593703437,96,192,28.442258,6,46.805095,106.888206,106.888206,4
1593703442,105,210,22.321691,7,43.073004,106.888206,106.888206,4
1593703447,114,228,22.321691,7,43.073004,106.888206,106.888206,4
1593703452,122,244,22.321691,7,43.073004,106.888206,106.888206,3
1593703457,132,264,14.273473,9,36.009448,106.888206,106.888206,4
1593703462,138,276,14.273473,9,36.009448,106.888206,106.888206,2
1593703467,146,292,14.273473,9,36.009448,106.888206,106.888206,3
1593703472,155,310,11.762482,10,33.108686,106.888206,106.888206,4
1593703477,165,330,11.762482,10,33.108686,106.888206,106.888206,4
1593703482,174,348,9.771534,11,30.424710,106.888206,106.888206,4
1593703487,183,366,7.073813,13,26.225199,106.888206,106.888206,4
1593703492,193,386,6.173911,14,24.595876,106.888206,106.888206,4
1593703497,202,404,5.415450,15,23.097373,3.005698,106.888206,4
1593703502,212,424,4.791193,16,21.751480,3.005698,106.888206,4
1593703507,222,444,4.257221,17,20.554387,3.005698,106.888206,4
1593703512,231,462,4.257221,17,20.554387,3.005698,106.888206,4
1593703517,241,482,3.783110,18,19.363861,0.244944,106.888206,4
1593703522,252,504,3.380899,19,18.318022,0.244944,106.888206,4
1593703527,260,520,3.380899,19,18.318022,0.244944,106.888206,4
1593703532,271,542,2.468791,22,15.648805,0.244944,106.888206,4
1593703537,280,560,2.468791,22,15.648805,0.244944,106.888206,4
1593703542,290,580,2.468791,22,15.648805,0.244944,106.888206,4
1593703547,301,602,2.230274,23,14.864038,0.244944,106.888206,4
1593703552,312,624,1.856145,25,13.451925,0.380910,106.888206,4
1593703557,322,644,1.856145,25,13.451925,0.380910,106.888206,4
1593703562,333,666,1.678297,26,12.798114,0.380910,106.888206,4
1593703567,344,688,1.542419,27,12.178940,0.380910,106.888206,4
1593703572,354,708,1.542419,27,12.178940,0.380910,106.888206,4
1593703577,365,730,1.430908,28,11.559694,0.425769,106.888206,4
1593703582,377,754,1.430908,28,11.559694,0.425769,106.888206,5
1593703587,387,774,1.430908,28,11.559694,0.425769,106.888206,4
1593703592,397,794,1.430908,28,11.559694,0.425769,106.888206,4
1593703597,409,818,1.037151,31,9.802096,0.425769,3.005698,5
1593703602,420,840,0.745318,35,8.285270,0.425769,0.425769,4
1593703607,431,862,0.698026,36,7.987786,0.425769,0.425769,4
1593703612,440,880,0.698026,36,7.987786,0.425769,0.425769,4
1593703617,452,904,0.601362,38,7.408744,0.380910,0.425769,5
1593703622,460,920,0.601362,38,7.408744,0.380910,0.425769,3
1593703627,471,942,0.601362,38,7.408744,0.380910,0.425769,4
1593703632,480,960,0.516368,40,6.830686,0.380910,0.425769,4
1593703637,489,978,0.516368,40,6.830686,0.380910,0.425769,4
1593703642,500,1000,0.484761,41,6.550888,0.380910,0.425769,4
1593703647,512,1024,0.446043,42,6.281529,0.380910,0.425769,5
1593703652,524,1048,0.387001,44,5.797834,0.255297,0.425769,5
1593703657,535,1070,0.320434,47,5.205265,0.255297,0.425769,4
1593703662,544,1088,0.305188,48,5.033588,0.255297,0.425769,4
1593703667,555,1110,0.287331,49,4.871211,0.244944,0.425769,4
1593703672,567,1134,0.274314,51,4.555534,0.303348,0.425769,5
1593703677,579,1158,0.246002,53,4.276119,0.303348,0.425769,5
1593703682,591,1182,0.234215,54,4.149036,0.303348,0.425769,5
1593703687,603,1206,0.220936,55,4.024088,0.303348,0.425769,5
1593703692,614,1228,0.192329,58,3.685800,0.303348,0.425769,4
1593703697,625,1250,0.181390,60,3.489292,0.303348,0.425769,4
1593703702,637,1274,0.166800,62,3.309247,0.255297,0.380910,5
1593703707,649,1298,0.161806,63,3.221767,0.255297,0.380910,5
1593703712,660,1320,0.149201,65,3.052341,0.188327,0.380910,4
1593703717,672,1344,0.149201,65,3.052341,0.188327,0.380910,5
1593703722,683,1366,0.143142,66,2.966647,0.150798,0.380910,4
1593703727,695,1390,0.127391,70,2.663499,0.146814,0.303348,5
1593703732,706,1412,0.118380,73,2.476989,0.159967,0.303348,4
1593703737,716,1432,0.114235,74,2.420074,0.159967,0.303348,4
1593703742,728,1456,0.113364,75,2.363670,0.159967,0.303348,5
1593703747,740,1480,0.110076,76,2.303755,0.159967,0.303348,5
1593703752,751,1502,0.109115,78,2.191954,0.190440,0.303348,4
1593703757,763,1526,0.109509,82,1.995839,0.288368,0.303348,5
1593703762,775,1550,0.111809,83,1.950512,0.288368,0.303348,5
1593703767,788,1576,0.107160,84,1.905700,0.288368,0.303348,5
1593703772,799,1598,0.107160,84,1.905700,0.288368,0.303348,4
1593703777,811,1622,0.110287,86,1.811362,0.288368,0.303348,5
1593703782,822,1644,0.110287,86,1.811362,0.288368,0.303348,4
1593703787,834,1668,0.103892,89,1.677807,0.264644,0.303348,5
1593703792,846,1692,0.090797,93,1.529020,0.264644,0.303348,5
1593703797,859,1718,0.087581,94,1.496598,0.264644,0.288368,5
1593703802,871,1742,0.081328,96,1.430911,0.264644,0.288368,5
1593703807,882,1764,0.078179,97,1.398217,0.264644,0.288368,4
1593703812,893,1786,0.077524,99,1.335070,0.264644,0.288368,4
1593703817,905,1810,0.077524,99,1.335070,0.264644,0.288368,5
1593703822,916,1832,0.078534,101,1.274056,0.244944,0.288368,4
1593703827,926,1852,0.075318,102,1.243443,0.190440,0.288368,4
1593703832,938,1876,0.076740,103,1.213174,0.190440,0.288368,5
1593703837,951,1902,0.073666,104,1.182963,0.190440,0.288368,5
1593703842,963,1926,0.073666,104,1.182963,0.190440,0.288368,5
1593703847,976,1952,0.073666,104,1.182963,0.190440,0.288368,5
1593703852,988,1976,0.070388,105,1.147619,0.190440,0.288368,5
1593703857,999,1998,0.067299,106,1.112352,0.190440,0.288368,4
1593703862,1011,2022,0.067299,106,1.112352,0.190440,0.288368,5
1593703867,1023,2046,0.056137,110,0.985954,0.160681,0.288368,5
1593703872,1035,2070,0.051811,112,0.934948,0.159967,0.288368,5
1593703877,1046,2092,0.049977,113,0.909823,0.146814,0.288368,4
1593703882,1056,2112,0.049977,113,0.909823,0.146814,0.288368,4
1593703887,1068,2136,0.053454,115,0.859794,0.148143,0.288368,5
1593703892,1078,2156,0.051107,116,0.835774,0.148143,0.288368,4
1593703897,1090,2180,0.056684,119,0.768580,0.157850,0.264644,5
1593703902,1103,2206,0.055073,121,0.729298,0.157850,0.264644,5
1593703907,1114,2228,0.065085,122,0.711317,0.247135,0.264644,4
1593703912,1126,2252,0.066021,123,0.692148,0.247135,0.264644,5
1593703917,1138,2276,0.066021,123,0.692148,0.247135,0.264644,5
1593703922,1150,2300,0.062959,124,0.672679,0.247135,0.264644,5
1593703927,1162,2324,0.061598,126,0.634905,0.247135,0.264644,5
1593703932,1172,2344,0.061598,126,0.634905,0.247135,0.264644,4
1593703937,1183,2366,0.061598,126,0.634905,0.247135,0.264644,4
1593703942,1194,2388,0.055231,129,0.578984,0.160681,0.255297,4
1593703947,1207,2414,0.053554,131,0.546664,0.157850,0.247135,5
1593703952,1219,2438,0.050118,134,0.504314,0.157850,0.247135,5
1593703957,1230,2460,0.056827,136,0.479371,0.157850,0.247135,4
