timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,6,12,0.000000,0,0.000000,0.000000,0.000000,3
1593703387,14,28,0.000000,0,0.000000,0.000000,0.000000,3
1593703392,19,42,0.000000,0,0.000000,0.000000,0.000000,3
1593703397,28,60,0.039122,1,0.000000,0.039122,0.039122,4
1593703402,37,80,0.291287,4,0.254080,0.600472,0.600472,4
1593703407,45,96,0.236141,5,0.249658,0.600472,0.600472,3
1593703412,54,114,0.236141,5,0.249658,0.600472,0.600472,4
1593703417,63,132,0.207147,6,0.229994,0.600472,0.600472,4
1593703422,70,148,0.207147,6,0.229994,0.600472,0.600472,3
1593703427,79,166,0.170955,8,0.201227,0.600472,0.600472,4
1593703432,87,184,0.209753,9,0.208181,0.600472,0.600472,4
1593703437,96,202,0.209753,9,0.208181,0.600472,0.600472,4
1593703442,105,220,0.209753,9,0.208181,0.600472,0.600472,4
1593703447,114,238,0.184346,10,0.200706,0.600472,0.600472,4
1593703452,122,256,0.136943,13,0.177981,0.600472,0.600472,4
1593703457,132,276,0.136943,13,0.177981,0.600472,0.600472,4
1593703462,138,294,0.123081,14,0.171662,0.467798,0.600472,4
1593703467,146,312,0.123081,14,0.171662,0.467798,0.600472,4
1593703472,155,330,0.123081,14,0.171662,0.467798,0.600472,4
1593703477,165,350,0.191171,15,0.244566,0.688912,0.688912,4
1593703482,174,368,0.191171,15,0.244566,0.688912,0.688912,4
1593703487,183,388,0.191171,15,0.244566,0.688912,0.688912,4
1593703492,193,408,0.166595,16,0.235583,0.688912,0.688912,4
1593703497,202,428,0.166595,16,0.235583,0.688912,0.688912,4
1593703502,212,448,0.172074,17,0.219104,0.688912,0.688912,4
1593703507,222,468,0.151314,18,0.211929,0.688912,0.688912,4
1593703512,231,488,0.151314,18,0.211929,0.688912,0.688912,4
1593703517,241,510,0.174364,19,0.206827,0.688912,0.688912,4
1593703522,252,532,0.153604,20,0.201194,0.688912,0.688912,4
1593703527,260,552,0.190327,23,0.258932,0.784709,0.784709,4
1593703532,271,574,0.173843,24,0.252169,0.784709,0.784709,4
1593703537,280,596,0.173843,24,0.252169,0.784709,0.784709,4
1593703542,290,618,0.165462,25,0.241474,0.784709,0.784709,4
1593703547,301,640,0.149046,27,0.224299,0.784709,0.784709,4
1593703552,312,662,0.149046,27,0.224299,0.784709,0.784709,4
1593703557,322,682,0.149046,27,0.224299,0.784709,0.784709,4
1593703562,333,704,0.169835,29,0.235488,0.784709,0.784709,4
1593703567,344,726,0.159919,30,0.226889,0.688912,0.784709,4
1593703572,354,748,0.136047,32,0.215537,0.688912,0.784709,4
1593703577,365,770,0.136047,32,0.215537,0.688912,0.784709,4
1593703582,377,794,0.136047,32,0.215537,0.688912,0.784709,5
1593703587,387,816,0.136047,32,0.215537,0.688912,0.784709,4
1593703592,397,840,0.104389,35,0.195740,0.528039,0.784709,4
1593703597,409,862,0.104389,35,0.195740,0.528039,0.784709,5
1593703602,420,884,0.096351,36,0.189266,0.528039,0.784709,4
1593703607,431,908,0.096351,36,0.189266,0.528039,0.784709,5
1593703612,440,930,0.102993,37,0.181390,0.528039,0.784709,4
1593703617,452,954,0.087679,39,0.169978,0.528039,0.784709,5
1593703622,460,976,0.070697,42,0.155123,0.528039,0.784709,4
1593703627,471,1000,0.062385,45,0.141536,0.435945,0.784709,5
1593703632,480,1022,0.060445,47,0.134042,0.331267,0.784709,4
1593703637,489,1046,0.060445,47,0.134042,0.331267,0.784709,5
1593703642,500,1068,0.057236,48,0.130405,0.331267,0.784709,4
1593703647,512,1092,0.057747,50,0.123054,0.206191,0.688912,5
1593703652,524,1116,0.057747,50,0.123054,0.206191,0.688912,5
1593703657,535,1140,0.054454,51,0.119709,0.167434,0.688912,5
1593703662,544,1162,0.054454,51,0.119709,0.167434,0.688912,4
1593703667,555,1186,0.081602,52,0.152968,0.451730,0.688912,5
1593703672,567,1210,0.071825,54,0.144552,0.451730,0.688912,5
1593703677,579,1234,0.071825,54,0.144552,0.451730,0.688912,5
1593703682,591,1258,0.071944,57,0.135890,0.451730,0.528039,5
1593703687,603,1282,0.058095,61,0.123376,0.451730,0.528039,5
1593703692,614,1306,0.058095,61,0.123376,0.451730,0.528039,5
1593703697,625,1330,0.055091,62,0.120441,0.451730,0.528039,5
1593703702,637,1354,0.053195,66,0.111982,0.195128,0.528039,5
1593703707,649,1378,0.050968,67,0.109576,0.195128,0.528039,5
1593703712,660,1402,0.050968,67,0.109576,0.195128,0.528039,5
1593703717,672,1426,0.050968,67,0.109576,0.195128,0.528039,5
1593703722,683,1450,0.050968,67,0.109576,0.195128,0.528039,5
1593703727,695,1474,0.050968,67,0.109576,0.195128,0.528039,5
1593703732,706,1498,0.052723,70,0.103824,0.195128,0.451730,5
1593703737,716,1522,0.052723,70,0.103824,0.195128,0.451730,5
1593703742,728,1546,0.053755,73,0.099409,0.195128,0.451730,5
1593703747,740,1570,0.051488,76,0.091649,0.167434,0.451730,5
1593703752,751,1596,0.050095,78,0.087491,0.164788,0.451730,5
1593703757,763,1620,0.061388,81,0.091242,0.190501,0.451730,5
1593703762,775,1644,0.076199,83,0.117471,0.428224,0.451730,5
1593703767,788,1670,0.084532,84,0.120673,0.428224,0.451730,5
1593703772,799,1694,0.079807,86,0.116104,0.428224,0.451730,5
1593703777,811,1718,0.078927,87,0.113326,0.428224,0.451730,5
1593703782,822,1742,0.075340,88,0.111591,0.253766,0.451730,5
1593703787,834,1766,0.074641,91,0.108940,0.253766,0.451730,5
1593703792,846,1790,0.074844,94,0.104471,0.253766,0.428224,5
1593703797,859,1816,0.074844,94,0.104471,0.253766,0.428224,5
1593703802,871,1840,0.090938,95,0.124918,0.414493,0.428224,5
1593703807,882,1866,0.090938,95,0.124918,0.414493,0.428224,5
1593703812,893,1890,0.090938,95,0.124918,0.414493,0.428224,5
1593703817,905,1914,0.090938,95,0.124918,0.414493,0.428224,5
1593703822,916,1938,0.081707,97,0.120626,0.414493,0.428224,5
1593703827,926,1964,0.079604,98,0.117509,0.414493,0.428224,5
1593703832,938,1988,0.071368,100,0.113169,0.414493,0.428224,5
1593703837,951,2014,0.071368,100,0.113169,0.414493,0.428224,5
1593703842,963,2038,0.067513,101,0.110677,0.414493,0.428224,5
1593703847,976,2064,0.067513,101,0.110677,0.414493,0.428224,5
1593703852,988,2088,0.060501,103,0.105438,0.414493,0.428224,5
1593703857,999,2112,0.060501,103,0.105438,0.414493,0.428224,5
1593703862,1011,2136,0.057135,104,0.102626,0.253766,0.428224,5
1593703867,1023,2160,0.057135,104,0.102626,0.253766,0.428224,5
1593703872,1035,2184,0.057135,104,0.102626,0.253766,0.428224,5
1593703877,1046,2210,0.056792,105,0.098532,0.253766,0.428224,5
1593703882,1056,2234,0.043921,109,0.088279,0.197209,0.428224,5
1593703887,1068,2260,0.061836,110,0.109149,0.320056,0.428224,5
1593703892,1078,2284,0.061836,110,0.109149,0.320056,0.428224,5
1593703897,1090,2308,0.058422,111,0.106181,0.320056,0.428224,5
1593703902,1103,2334,0.076717,112,0.122051,0.320056,0.428224,5
1593703907,1114,2358,0.089242,113,0.126320,0.320056,0.428224,5
1593703912,1126,2382,0.096951,114,0.125043,0.320056,0.414493,5
1593703917,1138,2406,0.096951,114,0.125043,0.320056,0.414493,5
1593703922,1150,2432,0.099136,116,0.116820,0.320056,0.414493,5
1593703927,1162,2458,0.110647,117,0.120537,0.320056,0.414493,5
1593703932,1172,2482,0.106204,121,0.115023,0.318115,0.414493,5
1593703937,1183,2508,0.106204,121,0.115023,0.318115,0.414493,5
1593703942,1194,2532,0.110690,123,0.118285,0.318115,0.414493,5
1593703947,1207,2558,0.104701,124,0.117245,0.318115,0.414493,5
1593703952,1219,2582,0.115797,127,0.145905,0.514387,0.514387,5
1593703957,1230,2606,0.114103,128,0.142150,0.514387,0.514387,5
1593703962,1242,2634,0.118811,129,0.139478,0.428224,0.514387,6
1593703967,1253,2658,0.112304,130,0.137942,0.414493,0.514387,5
1593703972,1266,2684,0.128086,132,0.149968,0.434244,0.514387,5
1593703977,1278,2708,0.121405,133,0.148441,0.434244,0.514387,5
1593703982,1288,2732,0.114838,134,0.146676,0.434244,0.514387,5
1593703987,1300,2758,0.105948,136,0.140859,0.434244,0.514387,5
1593703992,1312,2784,0.105948,136,0.140859,0.434244,0.514387,5
1593703997,1323,2808,0.109778,137,0.137416,0.434244,0.514387,5
1593704002,1336,2834,0.109778,137,0.137416,0.434244,0.514387,5
1593704007,1348,2858,0.103239,138,0.135164,0.434244,0.514387,5
1593704012,1360,2882,0.099951,140,0.129093,0.434244,0.514387,5
1593704017,1372,2908,0.094055,141,0.127355,0.434244,0.514387,5
1593704022,1385,2934,0.088507,142,0.125120,0.434244,0.514387,5
1593704027,1397,2958,0.086516,143,0.121497,0.414493,0.514387,5
1593704032,1407,2982,0.081451,144,0.119102,0.320056,0.514387,5
1593704037,1419,3006,0.081451,144,0.119102,0.320056,0.514387,5
