timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,6,18,0.000000,0,0.000000,0.000000,0.000000,4
1593703387,14,42,0.143266,2,0.114996,0.259128,0.259128,5
1593703392,19,57,0.143266,2,0.114996,0.259128,0.259128,3
1593703397,28,84,0.116900,4,0.094370,0.259128,0.259128,5
1593703402,37,111,0.116900,4,0.094370,0.259128,0.259128,5
1593703407,45,135,0.202766,5,0.174616,0.478759,0.478759,5
1593703412,54,162,0.171878,7,0.148661,0.478759,0.478759,5
1593703417,63,189,0.148836,8,0.147224,0.478759,0.478759,5
1593703422,70,210,0.128728,11,0.127471,0.478759,0.478759,4
1593703427,79,237,0.119746,14,0.113440,0.478759,0.478759,5
1593703432,87,261,0.121402,15,0.108617,0.478759,0.478759,5
1593703437,96,288,0.121402,15,0.108617,0.478759,0.478759,5
1593703442,105,315,0.121402,15,0.108617,0.478759,0.478759,5
1593703447,114,342,0.122287,16,0.103266,0.478759,0.478759,5
1593703452,122,366,0.119788,18,0.094263,0.259128,0.478759,5
1593703457,132,396,0.111328,19,0.094327,0.259128,0.478759,6
1593703462,138,414,0.109095,20,0.090695,0.259128,0.478759,4
1593703467,148,438,0.104157,21,0.088367,0.259128,0.478759,5
1593703472,157,465,0.104157,21,0.088367,0.259128,0.478759,5
1593703477,167,495,0.105802,24,0.078232,0.157557,0.478759,6
1593703482,176,522,0.105802,24,0.078232,0.157557,0.478759,5
1593703487,185,549,0.104143,25,0.075241,0.157557,0.478759,5
1593703492,195,579,0.101664,26,0.072778,0.157557,0.478759,6
1593703497,206,606,0.101664,26,0.072778,0.157557,0.478759,5
1593703502,216,636,0.107940,28,0.069413,0.170779,0.478759,6
1593703507,226,666,0.110717,29,0.067293,0.170779,0.478759,6
1593703512,235,693,0.110717,29,0.067293,0.170779,0.478759,5
1593703517,245,723,0.109006,30,0.064743,0.170779,0.478759,6
1593703522,257,754,0.107591,31,0.062252,0.170779,0.478759,6
1593703527,264,776,0.106620,32,0.059681,0.170779,0.478759,5
1593703532,275,809,0.105824,33,0.057365,0.170779,0.478759,7
1593703537,284,836,0.105824,33,0.057365,0.170779,0.478759,5
1593703542,296,866,0.089971,36,0.060385,0.170779,0.259128,6
1593703547,307,899,0.089541,37,0.058119,0.170779,0.259128,7
1593703552,318,932,0.088401,39,0.054058,0.157557,0.259128,7
1593703557,328,962,0.089188,41,0.050531,0.145309,0.259128,6
1593703562,341,995,0.085852,43,0.048256,0.143964,0.259128,7
1593703567,352,1028,0.085852,43,0.048256,0.143964,0.259128,7
1593703572,364,1058,0.085852,43,0.048256,0.143964,0.259128,6
1593703577,375,1091,0.080920,44,0.049920,0.143964,0.170779,7
1593703582,393,1127,0.086779,50,0.065119,0.296071,0.296071,7
1593703587,403,1157,0.079146,52,0.065614,0.259128,0.296071,6
1593703592,415,1188,0.080690,54,0.063512,0.170779,0.296071,6
1593703597,426,1221,0.080690,54,0.063512,0.170779,0.296071,7
1593703602,439,1254,0.079409,56,0.060459,0.170779,0.296071,7
1593703607,450,1287,0.075961,57,0.060606,0.157557,0.296071,7
1593703612,459,1314,0.078697,58,0.060120,0.145309,0.296071,5
1593703617,470,1348,0.079209,59,0.058499,0.143964,0.296071,7
1593703622,478,1372,0.073266,61,0.058079,0.143156,0.296071,5
1593703627,492,1403,0.073610,63,0.055250,0.143156,0.296071,6
1593703632,501,1430,0.071811,65,0.052780,0.133657,0.296071,5
1593703637,512,1457,0.068574,67,0.051680,0.132019,0.296071,5
1593703642,523,1490,0.069674,69,0.049411,0.132019,0.296071,7
1593703647,535,1526,0.066000,71,0.048813,0.132019,0.296071,7
1593703652,549,1562,0.062924,74,0.046866,0.132019,0.296071,7
1593703657,562,1595,0.091672,76,0.152894,0.296071,0.776042,7
1593703662,573,1622,0.091057,78,0.146633,0.296071,0.776042,5
1593703667,583,1653,0.087515,81,0.138058,0.170779,0.776042,6
1593703672,599,1689,0.084360,84,0.130307,0.143156,0.776042,7
1593703677,611,1725,0.085473,86,0.126016,0.145066,0.776042,7
1593703682,623,1761,0.085471,91,0.115336,0.145066,0.776042,7
1593703687,637,1797,0.089542,92,0.115238,0.200049,0.776042,7
1593703692,650,1830,0.089542,92,0.115238,0.200049,0.776042,7
1593703697,660,1861,0.086429,94,0.111285,0.200049,0.776042,6
1593703702,676,1897,0.085025,95,0.109250,0.200049,0.776042,7
1593703707,692,1933,0.082162,97,0.105242,0.200049,0.776042,7
1593703712,703,1966,0.082099,98,0.103122,0.200049,0.776042,7
1593703717,719,2002,0.085929,99,0.102649,0.174995,0.776042,7
1593703722,730,2035,0.080433,102,0.097830,0.174995,0.776042,7
