timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,12,6,818.054435,1,0.000000,818.054435,818.054435,1
1593703387,28,14,818.054435,1,0.000000,818.054435,818.054435,2
1593703392,42,21,700.778385,2,107.989129,818.054435,818.054435,1
1593703397,60,30,700.778385,2,107.989129,818.054435,818.054435,2
1593703402,80,40,700.778385,2,107.989129,818.054435,818.054435,2
1593703407,96,48,700.778385,2,107.989129,818.054435,818.054435,2
1593703412,114,57,700.778385,2,107.989129,818.054435,818.054435,2
1593703417,132,66,700.778385,2,107.989129,818.054435,818.054435,2
1593703422,148,74,700.778385,2,107.989129,818.054435,818.054435,2
1593703427,166,83,700.778385,2,107.989129,818.054435,818.054435,2
1593703432,184,92,624.872011,3,108.844354,818.054435,818.054435,2
1593703437,202,101,624.872011,3,108.844354,818.054435,818.054435,2
1593703442,220,110,624.872011,3,108.844354,818.054435,818.054435,2
1593703447,238,119,624.872011,3,108.844354,818.054435,818.054435,2
1593703452,256,128,597.333819,4,91.185418,818.054435,818.054435,2
1593703457,276,138,569.416209,5,87.185211,818.054435,818.054435,2
1593703462,294,147,559.132780,6,78.166034,818.054435,818.054435,2
1593703467,312,156,557.605500,7,69.511761,818.054435,818.054435,2
1593703472,330,165,551.599495,8,64.315440,601.340760,818.054435,2
1593703477,350,175,551.599495,8,64.315440,601.340760,818.054435,2
1593703482,368,184,551.599495,8,64.315440,601.340760,818.054435,2
1593703487,388,194,545.964774,9,59.359432,601.340760,818.054435,2
1593703492,408,204,536.562450,10,58.133579,601.340760,818.054435,2
1593703497,428,214,536.562450,10,58.133579,601.340760,818.054435,2
1593703502,448,224,536.562450,10,58.133579,601.340760,818.054435,2
1593703507,468,234,536.562450,10,58.133579,601.340760,818.054435,2
1593703512,488,244,536.562450,10,58.133579,601.340760,818.054435,2
1593703517,510,255,536.562450,10,58.133579,601.340760,818.054435,2
1593703522,532,266,521.491831,11,59.043187,601.340760,818.054435,2
1593703527,552,276,521.491831,11,59.043187,601.340760,818.054435,2
1593703532,574,287,500.248011,13,57.084061,555.305244,818.054435,2
1593703537,596,298,500.248011,13,57.084061,555.305244,818.054435,2
1593703542,618,309,487.751365,15,52.943506,555.305244,818.054435,2
1593703547,640,320,487.751365,15,52.943506,555.305244,818.054435,2
1593703552,662,331,487.751365,15,52.943506,555.305244,818.054435,2
1593703557,682,341,482.857271,16,50.450505,555.305244,818.054435,2
1593703562,704,352,482.857271,16,50.450505,555.305244,818.054435,2
1593703567,726,363,482.857271,16,50.450505,555.305244,818.054435,2
1593703572,748,374,482.857271,16,50.450505,555.305244,818.054435,2
1593703577,770,385,483.512522,17,46.210065,551.880943,601.340760,2
1593703582,794,397,483.512522,17,46.210065,551.880943,601.340760,2
1593703587,816,408,491.105916,18,45.867095,551.880943,601.340760,2
1593703592,840,420,491.105916,18,45.867095,551.880943,601.340760,2
1593703597,862,431,491.105916,18,45.867095,551.880943,601.340760,2
1593703602,884,442,491.105916,18,45.867095,551.880943,601.340760,2
1593703607,908,454,480.003969,19,47.652066,551.880943,601.340760,2
1593703612,930,465,480.003969,19,47.652066,551.880943,601.340760,2
1593703617,954,477,464.429869,21,46.740954,531.471762,555.305244,2
1593703622,976,488,455.947114,23,43.428959,531.471762,555.305244,2
1593703627,1000,500,451.920571,24,42.409791,531.471762,555.305244,2
1593703632,1022,511,443.536378,26,41.950386,531.471762,555.305244,2
1593703637,1046,523,446.891838,27,41.252353,531.471762,555.305244,2
1593703642,1068,534,446.891838,27,41.252353,531.471762,555.305244,2
1593703647,1092,546,446.891838,27,41.252353,531.471762,555.305244,2
1593703652,1116,558,446.891838,27,41.252353,531.471762,555.305244,2
1593703657,1140,570,443.483800,28,39.809758,531.471762,551.880943,2
1593703662,1162,581,443.483800,28,39.809758,531.471762,551.880943,2
1593703667,1186,593,443.483800,28,39.809758,531.471762,551.880943,2
1593703672,1210,605,443.483800,28,39.809758,531.471762,551.880943,2
1593703677,1234,617,438.815063,29,38.801911,531.471762,551.880943,2
1593703682,1258,629,438.815063,29,38.801911,531.471762,551.880943,2
1593703687,1282,641,438.815063,29,38.801911,531.471762,551.880943,2
1593703692,1306,653,438.815063,29,38.801911,531.471762,551.880943,2
1593703697,1330,665,447.507595,30,41.325010,523.924571,551.880943,2
1593703702,1354,677,444.283624,32,37.713340,496.751967,546.728494,2
1593703707,1378,689,444.283624,32,37.713340,496.751967,546.728494,2
1593703712,1402,701,449.482456,33,37.900986,496.751967,531.471762,2
1593703717,1426,713,449.482456,33,37.900986,496.751967,531.471762,2
1593703722,1450,725,449.482456,33,37.900986,496.751967,531.471762,2
1593703727,1474,737,449.482456,33,37.900986,496.751967,531.471762,2
1593703732,1498,749,442.552933,34,38.858890,496.751967,531.471762,2
1593703737,1522,761,442.552933,34,38.858890,496.751967,531.471762,2
1593703742,1546,773,442.552933,34,38.858890,496.751967,531.471762,2
1593703747,1570,785,442.552933,34,38.858890,496.751967,531.471762,2
1593703752,1596,798,435.662879,35,38.785041,496.751967,531.471762,2
1593703757,1620,810,430.070055,36,37.929322,496.751967,531.471762,3
1593703762,1644,822,430.070055,36,37.929322,496.751967,531.471762,2
1593703767,1670,835,430.070055,36,37.929322,496.751967,531.471762,3
1593703772,1694,847,430.070055,36,37.929322,496.751967,531.471762,2
1593703777,1718,859,424.605540,37,36.469472,496.751967,531.471762,2
1593703782,1742,871,424.605540,37,36.469472,496.751967,531.471762,2
1593703787,1766,883,424.605540,37,36.469472,496.751967,531.471762,2
1593703792,1790,895,424.882711,38,33.051343,496.751967,531.471762,2
1593703797,1816,908,424.882711,38,33.051343,496.751967,531.471762,3
1593703802,1842,921,424.882711,38,33.051343,496.751967,531.471762,2
1593703807,1866,933,424.882711,38,33.051343,496.751967,531.471762,3
1593703812,1890,945,424.882711,38,33.051343,496.751967,531.471762,2
1593703817,1914,957,424.882711,38,33.051343,496.751967,531.471762,2
1593703822,1938,969,424.882711,38,33.051343,496.751967,531.471762,2
1593703827,1964,982,424.882711,38,33.051343,496.751967,531.471762,3
1593703832,1988,994,388.816156,40,65.052021,486.168750,504.960985,2
1593703837,2014,1007,390.558832,41,59.381626,486.168750,496.751967,3
1593703842,2038,1019,390.558832,41,59.381626,486.168750,496.751967,2
1593703847,2064,1032,392.655513,42,54.249063,479.086360,496.751967,3
1593703852,2088,1044,392.655513,42,54.249063,479.086360,496.751967,2
1593703857,2112,1056,392.655513,42,54.249063,479.086360,496.751967,2
1593703862,2136,1068,392.655513,42,54.249063,479.086360,496.751967,2
1593703867,2160,1080,392.655513,42,54.249063,479.086360,496.751967,2
1593703872,2184,1092,394.521601,43,48.824501,454.954336,496.751967,2
1593703877,2210,1105,374.339421,44,61.979537,454.954336,496.751967,3
1593703882,2234,1117,374.339421,44,61.979537,454.954336,496.751967,2
1593703887,2260,1130,374.339421,44,61.979537,454.954336,496.751967,3
1593703892,2284,1142,374.339421,44,61.979537,454.954336,496.751967,2
1593703897,2308,1154,378.000912,45,56.327851,430.853242,496.751967,2
1593703902,2334,1167,378.000912,45,56.327851,430.853242,496.751967,3
1593703907,2358,1179,378.000912,45,56.327851,430.853242,496.751967,2
1593703912,2382,1191,382.094562,46,51.179420,426.154567,496.751967,2
1593703917,2406,1203,382.094562,46,51.179420,426.154567,496.751967,2
1593703922,2432,1216,382.094562,46,51.179420,426.154567,496.751967,3
1593703927,2458,1229,400.315052,47,59.688871,479.096401,486.168750,3
1593703932,2482,1241,400.949328,48,54.168435,479.096401,486.168750,2
1593703937,2508,1254,400.949328,48,54.168435,479.096401,486.168750,3
1593703942,2532,1266,399.006441,49,49.585254,479.096401,486.168750,2
1593703947,2558,1279,399.006441,49,49.585254,479.096401,486.168750,3
1593703952,2582,1291,399.006441,49,49.585254,479.096401,486.168750,2
1593703957,2606,1303,399.006441,49,49.585254,479.096401,486.168750,2
1593703962,2634,1317,398.210496,50,44.789171,479.096401,479.096401,3
1593703967,2658,1329,398.210496,50,44.789171,479.096401,479.096401,2
1593703972,2684,1342,398.210496,50,44.789171,479.096401,479.096401,2
1593703977,2708,1354,398.210496,50,44.789171,479.096401,479.096401,3
1593703982,2732,1366,398.210496,50,44.789171,479.096401,479.096401,2
1593703987,2758,1379,408.089913,52,42.731407,479.096401,479.096401,3
1593703992,2784,1392,406.645292,53,39.331433,479.096401,479.096401,3
1593703997,2808,1404,406.645292,53,39.331433,479.096401,479.096401,2
1593704002,2834,1417,406.645292,53,39.331433,479.096401,479.096401,3
1593704007,2858,1429,406.645292,53,39.331433,479.096401,479.096401,2
1593704012,2882,1441,406.645292,53,39.331433,479.096401,479.096401,2
1593704017,2908,1454,406.645292,53,39.331433,479.096401,479.096401,3
1593704022,2934,1467,406.206495,54,35.095622,479.096401,479.096401,3
1593704027,2958,1479,413.829940,57,37.875731,481.225584,481.225584,2
1593704032,2982,1491,413.829940,57,37.875731,481.225584,481.225584,2
1593704037,3006,1503,413.829940,57,37.875731,481.225584,481.225584,2
1593704042,3032,1516,413.829940,57,37.875731,481.225584,481.225584,3
1593704047,3056,1528,412.567991,58,35.043750,481.225584,481.225584,2
1593704052,3080,1540,410.980378,59,32.711316,481.225584,481.225584,2
1593704057,3106,1553,409.009049,60,30.962347,481.225584,481.225584,3
1593704062,3130,1565,409.009049,60,30.962347,481.225584,481.225584,2
1593704067,3154,1577,408.132463,61,28.908300,481.225584,481.225584,2
1593704072,3178,1589,408.132463,61,28.908300,481.225584,481.225584,2
1593704077,3204,1602,407.705835,62,26.946771,481.225584,481.225584,2
1593704082,3228,1614,407.705835,62,26.946771,481.225584,481.225584,3
1593704087,3252,1626,415.366146,64,34.964385,486.189109,486.189109,2
1593704092,3276,1638,417.670553,67,38.941539,491.098938,491.098938,2
1593704097,3302,1651,416.882015,68,37.246758,491.098938,491.098938,3
1593704102,3328,1664,416.882015,68,37.246758,491.098938,491.098938,3
1593704107,3352,1676,421.779058,69,38.641888,491.098938,491.098938,2
1593704112,3376,1688,418.549881,70,38.143689,491.098938,491.098938,2
1593704117,3400,1700,418.549881,70,38.143689,491.098938,491.098938,2
1593704122,3426,1713,416.503035,71,36.757543,491.098938,491.098938,3
1593704127,3450,1725,416.503035,71,36.757543,491.098938,491.098938,2
1593704132,3476,1738,416.503035,71,36.757543,491.098938,491.098938,3
1593704137,3502,1751,421.515146,72,37.664486,491.098938,491.098938,3
1593704142,3526,1763,419.390164,73,36.080697,486.189109,491.098938,2
1593704147,3552,1776,419.390164,73,36.080697,486.189109,491.098938,3
1593704152,3576,1788,416.434452,75,32.805328,486.189109,491.098938,2
1593704157,3602,1801,416.434452,75,32.805328,486.189109,491.098938,3
1593704162,3628,1814,413.047001,77,30.375412,486.189109,491.098938,3
1593704167,3652,1826,413.047001,77,30.375412,486.189109,491.098938,2
1593704172,3676,1838,414.844333,78,29.441865,486.189109,491.098938,2
1593704177,3700,1850,405.563120,80,37.162930,481.225584,491.098938,2
1593704182,3726,1863,405.563120,80,37.162930,481.225584,491.098938,3
1593704187,3750,1875,405.563120,80,37.162930,481.225584,491.098938,2
1593704192,3774,1887,405.563120,80,37.162930,481.225584,491.098938,2
1593704197,3800,1900,413.340825,82,41.628001,490.660336,491.098938,3
1593704202,3824,1912,413.340825,82,41.628001,490.660336,491.098938,2
1593704207,3850,1925,412.288550,83,39.562359,490.660336,491.098938,3
1593704212,3874,1937,412.288550,83,39.562359,490.660336,491.098938,2
1593704217,3900,1950,412.050675,84,37.406780,490.660336,491.098938,3
1593704222,3924,1962,419.715314,86,42.798995,503.366472,503.366472,2
1593704227,3948,1974,419.715314,86,42.798995,503.366472,503.366472,2
1593704232,3972,1986,419.715314,86,42.798995,503.366472,503.366472,2
1593704237,3998,1999,424.514059,87,43.083534,503.366472,503.366472,3
1593704242,4022,2011,424.514059,87,43.083534,503.366472,503.366472,2
1593704247,4048,2024,422.972824,88,40.887338,503.366472,503.366472,3
1593704252,4072,2036,422.972824,88,40.887338,503.366472,503.366472,2
1593704257,4098,2049,422.972824,88,40.887338,503.366472,503.366472,3
1593704262,4122,2061,421.572773,89,38.560592,503.366472,503.366472,2
1593704267,4146,2073,421.572773,89,38.560592,503.366472,503.366472,2
1593704272,4170,2085,419.763945,90,36.463894,503.366472,503.366472,2
1593704277,4194,2097,417.094757,91,35.027280,491.098938,503.366472,2
1593704282,4220,2110,415.084675,92,33.514303,490.660336,503.366472,3
1593704287,4244,2122,414.175486,93,31.836480,490.660336,503.366472,2
1593704292,4270,2135,414.175486,93,31.836480,490.660336,503.366472,3
1593704297,4294,2147,414.175486,93,31.836480,490.660336,503.366472,2
1593704302,4318,2159,414.175486,93,31.836480,490.660336,503.366472,2
1593704307,4342,2171,414.175486,93,31.836480,490.660336,503.366472,2
1593704312,4368,2184,414.175486,93,31.836480,490.660336,503.366472,3
1593704317,4394,2197,413.321665,94,29.564064,490.660336,503.366472,3
1593704322,4418,2209,425.067421,95,41.106807,504.140720,504.140720,2
1593704327,4442,2221,424.874612,96,38.513577,504.140720,504.140720,2
1593704332,4468,2234,428.959830,98,39.867495,504.140720,504.140720,3
1593704337,4492,2246,425.790583,99,38.830825,504.140720,504.140720,2
1593704342,4516,2258,424.241112,100,37.088487,504.140720,504.140720,2
1593704347,4540,2270,422.131087,101,35.847172,504.140720,504.140720,2
1593704352,4564,2282,420.270889,102,34.513066,504.140720,504.140720,2
1593704357,4588,2294,418.991606,103,33.139955,504.140720,504.140720,2
