timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593703382,0,6,0.000000,0,0.000000,0.000000,0.000000,1
1593703387,0,14,0.000000,0,0.000000,0.000000,0.000000,2
1593703392,0,19,0.000000,0,0.000000,0.000000,0.000000,1
1593703397,0,28,0.095847,2,0.017695,0.113410,0.113410,2
1593703402,0,37,0.095847,2,0.017695,0.113410,0.113410,2
1593703407,0,45,0.095847,2,0.017695,0.113410,0.113410,2
1593703412,0,54,0.095847,2,0.017695,0.113410,0.113410,2
1593703417,0,63,0.075186,3,0.028534,0.113410,0.113410,2
1593703422,0,70,0.075186,3,0.028534,0.113410,0.113410,1
1593703427,0,79,0.075186,3,0.028534,0.113410,0.113410,2
1593703432,0,87,0.075186,3,0.028534,0.113410,0.113410,2
1593703437,0,96,0.075186,3,0.028534,0.113410,0.113410,2
1593703442,0,105,0.075186,3,0.028534,0.113410,0.113410,2
1593703447,0,114,0.075186,3,0.028534,0.113410,0.113410,2
1593703452,0,122,0.075186,3,0.028534,0.113410,0.113410,2
1593703457,0,132,0.075186,3,0.028534,0.113410,0.113410,2
1593703462,0,138,0.075186,3,0.028534,0.113410,0.113410,1
1593703467,0,148,0.075186,3,0.028534,0.113410,0.113410,2
1593703472,0,157,0.075186,3,0.028534,0.113410,0.113410,2
1593703477,0,167,0.075186,3,0.028534,0.113410,0.113410,2
1593703482,0,176,0.075186,3,0.028534,0.113410,0.113410,2
1593703487,0,185,0.075010,4,0.019508,0.113410,0.113410,2
1593703492,0,195,0.075010,4,0.019508,0.113410,0.113410,2
1593703497,0,206,0.073733,5,0.015419,0.113410,0.113410,2
1593703502,0,216,0.072937,7,0.015130,0.086467,0.113410,2
1593703507,0,226,0.074419,8,0.013921,0.086467,0.113410,2
1593703512,0,235,0.074419,8,0.013921,0.086467,0.113410,2
1593703517,0,245,0.074419,8,0.013921,0.086467,0.113410,2
1593703522,0,257,0.074419,8,0.013921,0.086467,0.113410,2
1593703527,0,264,0.074419,8,0.013921,0.086467,0.113410,1
1593703532,0,275,0.068393,9,0.016452,0.086467,0.113410,2
1593703537,0,284,0.069810,10,0.014999,0.086467,0.113410,2
1593703542,0,296,0.069810,10,0.014999,0.086467,0.113410,2
1593703547,0,307,0.068954,11,0.013677,0.086467,0.113410,2
1593703552,0,318,0.068954,11,0.013677,0.086467,0.113410,2
1593703557,0,328,0.061646,12,0.020030,0.086467,0.113410,2
1593703562,0,341,0.061646,12,0.020030,0.086467,0.113410,3
1593703567,0,352,0.061646,12,0.020030,0.086467,0.113410,2
1593703572,0,364,0.061646,12,0.020030,0.086467,0.113410,2
1593703577,0,375,0.059532,13,0.018599,0.086467,0.113410,2
1593703582,0,393,0.059532,13,0.018599,0.086467,0.113410,4
1593703587,0,403,0.059532,13,0.018599,0.086467,0.113410,2
1593703592,0,415,0.059532,13,0.018599,0.086467,0.113410,2
1593703597,0,426,0.059532,13,0.018599,0.086467,0.113410,2
1593703602,0,439,0.059532,13,0.018599,0.086467,0.113410,3
1593703607,0,450,0.053564,14,0.019598,0.086467,0.086467,2
1593703612,0,459,0.053564,14,0.019598,0.086467,0.086467,2
1593703617,0,470,0.053564,14,0.019598,0.086467,0.086467,2
1593703622,0,478,0.053564,14,0.019598,0.086467,0.086467,2
1593703627,0,492,0.047165,15,0.020655,0.080597,0.086467,3
1593703632,0,501,0.047165,15,0.020655,0.080597,0.086467,2
1593703637,0,512,0.047165,15,0.020655,0.080597,0.086467,2
1593703642,0,523,0.047165,15,0.020655,0.080597,0.086467,2
1593703647,0,535,0.047165,15,0.020655,0.080597,0.086467,2
1593703652,0,549,0.047165,15,0.020655,0.080597,0.086467,3
1593703657,0,562,0.048436,16,0.017663,0.080597,0.086467,3
1593703662,0,573,0.048436,16,0.017663,0.080597,0.086467,2
1593703667,0,583,0.043427,18,0.015626,0.075519,0.086467,2
1593703672,0,599,0.043427,18,0.015626,0.075519,0.086467,3
1593703677,0,611,0.043217,19,0.014165,0.075519,0.086467,2
1593703682,0,623,0.041666,20,0.013419,0.074856,0.086467,2
1593703687,0,637,0.043195,21,0.012831,0.071669,0.086467,3
1593703692,0,650,0.043195,21,0.012831,0.071669,0.086467,3
1593703697,0,660,0.041871,23,0.011722,0.065134,0.080597,2
1593703702,0,676,0.039430,25,0.012251,0.051726,0.080597,3
1593703707,0,692,0.039046,27,0.011025,0.051726,0.078019,3
1593703712,0,703,0.039046,27,0.011025,0.051726,0.078019,2
1593703717,0,719,0.039046,27,0.011025,0.051726,0.078019,3
1593703722,0,730,0.039046,27,0.011025,0.051726,0.078019,2
1593703727,0,741,0.039046,27,0.011025,0.051726,0.078019,2
1593703732,0,753,0.039727,29,0.010643,0.051726,0.075519,2
