t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407246176,201487,0.086396,0.005147,0.002529,0.004973,0.004173,0.004439,0.010239,0.017594,0.033356,0.085330,99159.244683,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246178,477260,0.086396,0.004702,0.002567,0.003961,0.004084,0.004295,0.008368,0.012428,0.017342,0.085246,118774.628323,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246180,767259,0.046737,0.004341,0.002567,0.002350,0.004083,0.004246,0.005977,0.008616,0.012089,0.046379,123521.287067,122560.400000,122560.400000,122560.400000,calls/second,milliseconds
1407246182,1002985,0.065557,0.004347,0.002567,0.002967,0.004096,0.004248,0.004907,0.008404,0.011768,0.065011,125602.695204,122560.400000,122560.400000,122560.400000,calls/second,milliseconds
1407246184,1267190,0.065557,0.004251,0.002592,0.002470,0.004100,0.004246,0.004679,0.007456,0.009725,0.064654,127169.771179,122560.400000,122560.400000,122560.400000,calls/second,milliseconds
1407246186,1511271,0.034402,0.004160,0.002596,0.001260,0.004108,0.004246,0.004646,0.006175,0.008420,0.033762,126028.534644,123355.510323,122724.766475,122615.493488,calls/second,milliseconds
1407246188,1744047,0.012337,0.004130,0.002596,0.000822,0.004107,0.004246,0.004610,0.005974,0.008363,0.012336,123353.200335,123355.510323,122724.766475,122615.493488,calls/second,milliseconds
1407246190,2031153,0.012337,0.004129,0.002596,0.000783,0.004109,0.004245,0.004600,0.005788,0.008238,0.012336,127176.518407,123334.441201,122730.836311,122618.133406,calls/second,milliseconds
1407246192,2228964,0.012337,0.004124,0.002596,0.000728,0.004114,0.004249,0.004580,0.005618,0.007885,0.012306,124040.231140,123334.441201,122730.836311,122618.133406,calls/second,milliseconds
1407246194,2429858,0.026467,0.004152,0.002596,0.000985,0.004121,0.004254,0.004586,0.005546,0.007463,0.026057,121686.048898,123334.441201,122730.836311,122618.133406,calls/second,milliseconds
1407246196,2688076,0.026467,0.004147,0.002596,0.000941,0.004121,0.004260,0.004600,0.005464,0.006537,0.026026,118319.710114,122196.957767,122505.670632,122543.285213,calls/second,milliseconds
1407246198,2885327,0.026467,0.004148,0.002596,0.000958,0.004124,0.004259,0.004593,0.005487,0.006805,0.026026,119860.944540,122196.957767,122505.670632,122543.285213,calls/second,milliseconds
1407246200,3096066,0.026467,0.004151,0.002596,0.000962,0.004124,0.004258,0.004581,0.005559,0.006805,0.026026,116857.769445,121830.588661,122424.831651,122515.980656,calls/second,milliseconds
1407246202,3312268,0.026467,0.004150,0.002607,0.000937,0.004127,0.004258,0.004567,0.005384,0.006543,0.026026,118447.764781,121830.588661,122424.831651,122515.980656,calls/second,milliseconds
1407246204,3448545,0.026467,0.004139,0.002607,0.000906,0.004127,0.004251,0.004549,0.004944,0.006504,0.026026,115030.835969,121830.588661,122424.831651,122515.980656,calls/second,milliseconds
1407246206,3745585,0.026467,0.004148,0.002662,0.000895,0.004126,0.004252,0.004544,0.005113,0.006473,0.026026,116809.509951,118890.814587,121807.294891,122308.485451,calls/second,milliseconds
1407246208,3889180,0.026467,0.004147,0.002662,0.000891,0.004127,0.004252,0.004510,0.004944,0.006473,0.026026,114495.692821,118890.814587,121807.294891,122308.485451,calls/second,milliseconds
1407246210,4136162,0.026467,0.004151,0.002662,0.000884,0.004122,0.004249,0.004490,0.004846,0.006473,0.026026,112725.519283,118874.950232,121755.810207,122288.451788,calls/second,milliseconds
1407246212,4352259,0.026467,0.004148,0.002662,0.000884,0.004118,0.004248,0.004497,0.004846,0.006473,0.026026,114338.833955,118874.950232,121755.810207,122288.451788,calls/second,milliseconds
1407246214,4493831,0.026467,0.004135,0.002662,0.000871,0.004113,0.004245,0.004489,0.004772,0.006027,0.026026,112379.076838,118874.950232,121755.810207,122288.451788,calls/second,milliseconds
1407246217,4771340,0.026467,0.004127,0.002662,0.000870,0.004108,0.004238,0.004472,0.004713,0.006027,0.026026,110774.407986,116616.656676,121241.355733,122113.062477,calls/second,milliseconds
1407246218,4924237,0.026467,0.004121,0.002662,0.000851,0.004107,0.004233,0.004462,0.004688,0.005907,0.026026,112010.436384,116616.656676,121241.355733,122113.062477,calls/second,milliseconds
1407246220,5073804,0.026467,0.004121,0.002662,0.000850,0.004108,0.004237,0.004462,0.004688,0.005813,0.026026,109714.224568,116251.271110,121089.383094,122057.293853,calls/second,milliseconds
1407246222,5330805,0.011260,0.004102,0.002662,0.000483,0.004108,0.004236,0.004458,0.004713,0.005469,0.011178,111145.642283,116251.271110,121089.383094,122057.293853,calls/second,milliseconds
