t,value
1407246176,{1407246174=33916; 1407246175=149144; total=183060}
1407246178,{1407246177=135833; 1407246176=142685; total=278518}
1407246180,{1407246178=140155; 1407246179=163957; total=304112}
1407246182,{1407246181=100845; 1407246180=124177; total=225022}
1407246184,{1407246182=148958; 1407246183=118486; total=267444}
1407246186,{1407246184=171972; 1407246185=76866; total=248838}
1407246188,{1407246186=154768; total=154768}
1407246190,{1407246189=145471; 1407246188=151560; 1407246187=62771; total=359802}
1407246192,{1407246190=60396; 1407246191=144802; total=205198}
1407246194,{1407246192=136561; 1407246193=56840; total=193401}
1407246196,{1407246195=122331; 1407246194=143514; total=265845}
1407246198,{1407246196=44357; 1407246197=146999; total=191356}
1407246200,{1407246198=131680; total=131680}
1407246202,{1407246200=79024; 1407246199=83972; 1407246201=132023; total=295019}
1407246204,{1407246203=17718; 1407246202=115810; total=133528}
1407246206,{1407246205=139836; 1407246204=158596; total=298432}
1407246208,{1407246206=34259; 1407246207=109866; total=144125}
1407246210,{1407246209=105883; 1407246208=147353; total=253236}
1407246212,{1407246211=164173; 1407246210=46551; total=210724}
1407246214,{1407246213=29736; 1407246212=111943; total=141679}
1407246217,{1407246214=158504; 1407246215=121963; total=280467}
1407246218,{1407246217=149833; total=149833}
1407246220,{1407246219=28089; 1407246218=124899; total=152988}
1407246222,{1407246221=135792; 1407246220=118096; total=253888}
1407246224,{1407246222=48067; 1407246223=86435; total=134502}
1407246226,{1407246225=51778; 1407246224=135090; total=186868}
1407246228,{1407246226=24524; total=24524}
1407246230,{1407246229=29773; 1407246228=25355; total=55128}
1407246232,{1407246231=15166; 1407246230=24476; total=39642}
1407246234,{1407246232=9671; 1407246233=29667; total=39338}
1407246236,{1407246235=8280; 1407246234=25830; total=34110}
1407246238,{1407246236=16762; 1407246237=29708; total=46470}
1407246240,{1407246238=24651; total=24651}
1407246242,{1407246240=24975; 1407246241=29762; total=54737}
1407246244,{1407246242=24107; total=24107}
1407246246,{1407246245=29801; 1407246244=24664; total=54465}
1407246248,{1407246247=23711; 1407246246=800; total=24511}
1407246251,{1407246249=29514; 1407246248=23295; total=52809}
1407246252,{1407246251=23985; total=23985}
1407246254,{1407246252=24966; total=24966}
1407246256,{1407246254=24287; total=24287}
1407246258,{1407246255=29957; 1407246256=9333; 1407246257=14592; total=53882}
1407246261,{1407246259=29610; 1407246258=24143; total=53753}
1407246262,{1407246261=24399; total=24399}
1407246264,{1407246262=24606; total=24606}
1407246267,{1407246265=29832; 1407246264=24954; total=54786}
1407246268,{1407246267=24499; total=24499}
1407246270,{1407246268=24368; total=24368}
1407246273,{1407246271=29420; 1407246270=24179; total=53599}
1407246274,{1407246273=24118; total=24118}
1407246276,{1407246274=24099; total=24099}
1407246278,{1407246276=23419; 1407246277=13206; total=36625}
1407246281,{1407246279=28132; 1407246278=10016; total=38148}
1407246282,{1407246281=22347; total=22347}
1407246284,{1407246282=22074; total=22074}
1407246287,{1407246284=23042; 1407246285=27741; total=50783}
1407246288,{1407246287=21779; total=21779}
1407246290,{1407246288=22422; total=22422}
1407246292,{1407246291=7445; 1407246290=22495; total=29940}
1407246295,{1407246292=13122; 1407246293=27085; total=40207}
1407246296,{1407246295=22197; total=22197}
1407246298,{1407246296=22448; total=22448}
1407246301,{1407246299=27653; 1407246298=22784; total=50437}
1407246303,{1407246301=22432; total=22432}
1407246304,{1407246303=21909; total=21909}
1407246306,{1407246304=22471; total=22471}
1407246308,{1407246307=9543; 1407246306=21741; total=31284}
1407246311,{1407246309=26699; 1407246308=12662; total=39361}
1407246312,{1407246311=21009; total=21009}
1407246314,{1407246312=20382; total=20382}
1407246316,{1407246314=21742; total=21742}
1407246319,{1407246316=21210; 1407246317=25988; total=47198}
1407246321,{1407246319=21180; total=21180}
1407246322,{1407246321=20106; total=20106}
1407246324,{1407246322=20306; total=20306}
1407246326,{1407246324=20439; total=20439}
1407246329,{1407246327=25371; 1407246326=18491; total=43862}
1407246331,{1407246329=20027; total=20027}
1407246332,{1407246331=19881; total=19881}
1407246334,{1407246332=19815; total=19815}
1407246336,{1407246334=19362; total=19362}
1407246338,{1407246337=13365; 1407246336=19207; total=32572}
1407246341,{1407246338=7394; 1407246339=22778; total=30172}
1407246343,{1407246341=19448; total=19448}
1407246344,{1407246343=18952; total=18952}
1407246346,{1407246345=7093; 1407246344=11742; total=18835}
1407246348,{1407246346=18819; total=18819}
1407246350,{1407246348=18992; 1407246349=8655; total=27647}
1407246353,{1407246350=8619; 1407246351=23877; total=32496}
1407246355,{total=0}
1407246356,{1407246355=18434; 1407246353=18628; total=37062}
1407246358,{1407246356=17931; total=17931}
1407246360,{1407246358=17808; total=17808}
1407246362,{1407246361=6774; 1407246360=17915; total=24689}
1407246365,{1407246363=22929; 1407246362=10280; total=33209}
1407246367,{1407246365=16688; total=16688}
1407246368,{1407246367=17913; total=17913}
1407246370,{1407246368=2258; 1407246369=15201; total=17459}
1407246372,{1407246370=18405; total=18405}
1407246374,{1407246372=17646; total=17646}
1407246376,{1407246374=17444; total=17444}
1407246379,{1407246377=22184; 1407246376=17360; total=39544}
1407246381,{total=0}
