t,value
1407246176,24576000
1407246178,24576000
1407246180,24576000
1407246182,24576000
1407246184,24576000
1407246186,24576000
1407246188,24576000
1407246190,24576000
1407246192,24576000
1407246194,24576000
1407246196,24576000
1407246198,24576000
1407246200,24576000
1407246202,24576000
1407246204,24576000
1407246206,24576000
1407246208,24576000
1407246210,24576000
1407246212,24576000
1407246214,24576000
1407246217,24576000
1407246218,24576000
1407246220,24576000
1407246222,24576000
1407246224,24576000
1407246226,24576000
1407246228,24576000
1407246230,24576000
1407246232,24576000
1407246234,24576000
1407246236,24576000
1407246238,24576000
1407246240,24576000
1407246242,24576000
1407246244,24576000
1407246246,24576000
1407246248,24576000
1407246251,24576000
1407246252,24576000
1407246254,24576000
1407246256,24576000
1407246258,24576000
1407246261,24576000
1407246262,24576000
1407246264,24576000
1407246267,24576000
1407246268,24576000
1407246270,24576000
1407246273,24576000
1407246274,24576000
1407246276,24576000
1407246278,24576000
1407246281,24576000
1407246282,24576000
1407246284,24576000
1407246287,24576000
1407246288,24576000
1407246290,24576000
1407246292,24576000
1407246295,24576000
1407246296,24576000
1407246298,24576000
1407246301,24576000
1407246303,24576000
1407246304,24576000
1407246306,24576000
1407246308,24576000
1407246311,24576000
1407246312,24576000
1407246314,24576000
1407246316,24576000
1407246319,24576000
1407246321,24576000
1407246322,24576000
1407246324,24576000
1407246326,24576000
1407246329,24576000
1407246331,24576000
1407246332,24576000
1407246334,24576000
1407246336,24576000
1407246338,24576000
1407246341,24576000
1407246343,24576000
1407246344,24576000
1407246346,24576000
1407246348,24576000
1407246350,24576000
1407246353,24576000
1407246355,24576000
1407246356,24576000
1407246358,24576000
1407246360,24576000
1407246362,24576000
1407246365,24576000
1407246367,24576000
1407246368,24576000
1407246370,24576000
1407246372,24576000
1407246374,24576000
1407246376,24576000
1407246379,24576000
1407246381,24576000
