t,value
1407246176,224395264
1407246178,224395264
1407246180,224395264
1407246182,224395264
1407246184,224395264
1407246186,224395264
1407246188,224395264
1407246190,224395264
1407246192,224395264
1407246194,224395264
1407246196,224395264
1407246198,224395264
1407246200,224395264
1407246202,224395264
1407246204,224395264
1407246206,224395264
1407246208,224395264
1407246210,224395264
1407246212,224395264
1407246214,224395264
1407246217,224395264
1407246218,224395264
1407246220,224395264
1407246222,224395264
1407246224,224395264
1407246226,224395264
1407246228,224395264
1407246230,224395264
1407246232,224395264
1407246234,224395264
1407246236,224395264
1407246238,224395264
1407246240,224395264
1407246242,224395264
1407246244,224395264
1407246246,224395264
1407246248,224395264
1407246251,224395264
1407246252,224395264
1407246254,224395264
1407246256,224395264
1407246258,224395264
1407246261,224395264
1407246262,224395264
1407246264,224395264
1407246267,224395264
1407246268,224395264
1407246270,224395264
1407246273,224395264
1407246274,224395264
1407246276,224395264
1407246278,224395264
1407246281,224395264
1407246282,224395264
1407246284,224395264
1407246287,224395264
1407246288,224395264
1407246290,224395264
1407246292,224395264
1407246295,224395264
1407246296,224395264
1407246298,224395264
1407246301,224395264
1407246303,224395264
1407246304,224395264
1407246306,224395264
1407246308,224395264
1407246311,224395264
1407246312,224395264
1407246314,224395264
1407246316,224395264
1407246319,224395264
1407246321,224395264
1407246322,224395264
1407246324,224395264
1407246326,224395264
1407246329,224395264
1407246331,224395264
1407246332,224395264
1407246334,224395264
1407246336,224395264
1407246338,224395264
1407246341,224395264
1407246343,224395264
1407246344,224395264
1407246346,224395264
1407246348,224395264
1407246350,224395264
1407246353,224395264
1407246355,224395264
1407246356,224395264
1407246358,224395264
1407246360,224395264
1407246362,224395264
1407246365,224395264
1407246367,224395264
1407246368,224395264
1407246370,224395264
1407246372,224395264
1407246374,224395264
1407246376,224395264
1407246379,224395264
1407246381,224395264
