t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407246176,201971,0.001899,0.000103,0.000043,0.000086,0.000096,0.000100,0.000202,0.000308,0.000383,0.001883,99141.771785,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246178,477243,0.307349,0.000396,0.000043,0.009583,0.000095,0.000099,0.000121,0.000263,0.000302,0.298491,118790.265611,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246180,767259,0.001899,0.000096,0.000043,0.000074,0.000094,0.000098,0.000106,0.000137,0.000271,0.001883,123545.499054,122642.000000,122642.000000,122642.000000,calls/second,milliseconds
1407246182,1003060,0.001899,0.000096,0.000043,0.000074,0.000094,0.000098,0.000106,0.000129,0.000257,0.001883,125631.199107,122642.000000,122642.000000,122642.000000,calls/second,milliseconds
1407246184,1263056,0.001359,0.000095,0.000043,0.000047,0.000094,0.000098,0.000118,0.000129,0.000241,0.001331,126769.311175,122642.000000,122642.000000,122642.000000,calls/second,milliseconds
1407246186,1511406,0.001359,0.000094,0.000043,0.000047,0.000094,0.000098,0.000114,0.000128,0.000221,0.001331,126053.141885,123430.793832,122805.060719,122696.655815,calls/second,milliseconds
1407246188,1742942,0.001359,0.000094,0.000043,0.000045,0.000094,0.000098,0.000106,0.000125,0.000150,0.001328,123283.614007,123430.793832,122805.060719,122696.655815,calls/second,milliseconds
1407246190,2031089,0.001359,0.000094,0.000043,0.000045,0.000094,0.000098,0.000114,0.000125,0.000143,0.001328,127184.164638,123396.893157,122808.395176,122698.374061,calls/second,milliseconds
1407246192,2228964,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000112,0.000124,0.000133,0.001328,124048.695241,123396.893157,122808.395176,122698.374061,calls/second,milliseconds
1407246194,2429648,0.001359,0.000094,0.000043,0.000044,0.000095,0.000098,0.000114,0.000124,0.000133,0.001328,121683.109560,123396.893157,122808.395176,122698.374061,calls/second,milliseconds
1407246196,2688147,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000117,0.000124,0.000130,0.001328,118329.475635,122260.972698,122583.302903,122623.535616,calls/second,milliseconds
1407246198,2885400,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000117,0.000124,0.000129,0.001328,119870.300795,122260.972698,122583.302903,122623.535616,calls/second,milliseconds
1407246200,3096119,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000109,0.000123,0.000128,0.001328,116865.066151,121889.341320,122501.151022,122595.776487,calls/second,milliseconds
1407246202,3312391,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000109,0.000123,0.000128,0.001328,118457.815370,121889.341320,122501.151022,122595.776487,calls/second,milliseconds
1407246204,3448338,0.001359,0.000094,0.000043,0.000044,0.000094,0.000098,0.000108,0.000122,0.000127,0.001328,115029.119866,121889.341320,122501.151022,122595.776487,calls/second,milliseconds
