t,count
1407246176,0
1407246178,0
1407246180,0
1407246182,0
1407246184,0
1407246186,0
1407246188,0
1407246190,0
1407246192,0
1407246194,0
1407246196,0
1407246198,0
1407246200,0
1407246202,0
1407246204,0
1407246206,0
1407246208,0
1407246210,0
1407246212,0
1407246214,0
1407246217,0
1407246218,0
1407246220,0
1407246222,0
1407246224,0
1407246226,0
1407246228,0
1407246230,0
1407246232,0
1407246234,0
1407246236,0
1407246238,0
1407246240,0
1407246242,0
1407246244,0
1407246246,0
1407246248,0
1407246251,0
1407246252,0
1407246254,0
1407246256,0
1407246258,0
1407246261,0
1407246262,0
1407246264,0
1407246267,0
1407246268,0
1407246270,0
1407246273,0
1407246274,0
1407246276,0
1407246278,0
1407246281,0
1407246282,0
1407246284,0
1407246287,0
1407246288,0
1407246290,0
1407246292,0
1407246295,0
1407246296,0
1407246298,0
1407246301,0
1407246303,0
1407246304,0
1407246306,0
1407246308,0
1407246311,0
1407246312,0
1407246314,0
1407246316,0
1407246319,0
1407246321,0
1407246322,0
1407246324,0
1407246326,0
1407246329,0
1407246331,0
1407246332,0
1407246334,0
1407246336,0
1407246338,0
1407246341,0
1407246343,0
1407246344,0
1407246346,0
1407246348,0
1407246350,0
1407246353,0
1407246355,0
1407246356,0
1407246358,0
1407246360,0
1407246362,0
1407246365,0
1407246367,0
1407246368,0
1407246370,0
1407246372,0
1407246374,0
1407246376,0
1407246379,0
1407246381,0
