t,count
1407246176,199511
1407246178,467389
1407246180,766004
1407246182,996444
1407246184,1263056
1407246186,1509386
1407246188,1735263
1407246190,2027158
1407246192,2226744
1407246194,2425010
1407246196,2687352
1407246198,2881969
1407246200,3092990
1407246202,3309994
1407246204,3443262
1407246206,3741530
1407246208,3885791
1407246210,4134120
1407246212,4349189
1407246214,4490410
1407246217,4766785
1407246218,4921035
1407246220,5069123
1407246222,5328442
1407246224,5461750
1407246226,5644433
1407246228,5668915
1407246230,5723920
1407246232,5768754
1407246234,5803476
1407246236,5842153
1407246238,5884035
1407246240,5908819
1407246242,5963418
1407246244,5987074
1407246246,6041444
1407246248,6066513
1407246251,6119283
1407246252,6142737
1407246254,6167702
1407246256,6221944
1407246258,6246397
1407246261,6300133
1407246262,6324127
1407246264,6348621
1407246267,6403528
1407246268,6427903
1407246270,6452796
1407246273,6505965
1407246274,6529984
1407246276,6554110
1407246278,6595810
1407246281,6629314
1407246282,6651197
1407246284,6673271
1407246287,6724317
1407246288,6745897
1407246290,6768309
1407246292,6803251
1407246295,6838848
1407246296,6860589
1407246298,6883097
1407246301,6933914
1407246303,6955949
1407246304,6978275
1407246306,7000280
1407246308,7037078
1407246311,7071378
1407246312,7091929
1407246314,7112759
1407246316,7134503
1407246319,7181711
1407246321,7202426
1407246322,7222971
1407246324,7243276
1407246326,7263274
1407246329,7307137
1407246331,7327160
1407246332,7347040
1407246334,7367326
1407246336,7386262
1407246338,7423835
1407246341,7449404
1407246343,7468794
1407246344,7487437
1407246346,7506254
1407246348,7525066
1407246350,7557667
1407246353,7585199
1407246355,7603770
1407246356,7622221
1407246358,7640197
1407246360,7658006
1407246362,7687673
1407246365,7715835
1407246367,7732521
1407246368,7750486
1407246370,7768355
1407246372,7786749
1407246374,7803939
1407246376,7821827
1407246379,7860979
1407246381,7877992
