t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407246176,196954,6.516720,0.011511,0.000404,0.205984,0.002981,0.003421,0.010450,0.021307,0.062188,6.359039,97720.417405,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246178,362853,1.079454,0.004764,0.000404,0.034264,0.003003,0.003244,0.005725,0.014724,0.039174,1.051435,91256.577701,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246180,538565,0.113293,0.003472,0.000404,0.006301,0.003008,0.003211,0.005080,0.012614,0.034025,0.112076,87306.784244,84365.400000,84365.400000,84365.400000,calls/second,milliseconds
1407246182,690024,0.069194,0.003131,0.000404,0.004294,0.003000,0.003191,0.004516,0.010303,0.014513,0.069052,86876.765150,84365.400000,84365.400000,84365.400000,calls/second,milliseconds
1407246184,840732,0.069194,0.003046,0.000404,0.004062,0.003015,0.003189,0.003978,0.007226,0.013297,0.069052,84736.857611,84365.400000,84365.400000,84365.400000,calls/second,milliseconds
1407246186,954118,0.069194,0.002962,0.000404,0.003829,0.003016,0.003166,0.003842,0.005583,0.010992,0.069052,79852.763348,84339.782230,84360.104254,84363.624935,calls/second,milliseconds
1407246188,1076230,0.069194,0.002969,0.000404,0.003826,0.003019,0.003173,0.003821,0.005399,0.010992,0.069052,76343.713128,84339.782230,84360.104254,84363.624935,calls/second,milliseconds
1407246190,1207719,0.069194,0.002927,0.000405,0.003806,0.003016,0.003166,0.003750,0.005090,0.009540,0.069052,75823.254999,82154.021823,83907.924481,84212.040698,calls/second,milliseconds
1407246192,1340686,0.069194,0.002875,0.000405,0.003316,0.003025,0.003173,0.003699,0.004959,0.008031,0.069052,74787.184428,82154.021823,83907.924481,84212.040698,calls/second,milliseconds
1407246194,1505161,0.069194,0.002848,0.000405,0.003096,0.003031,0.003181,0.003656,0.004773,0.007123,0.069052,75539.164988,82154.021823,83907.924481,84212.040698,calls/second,milliseconds
1407246196,1686287,0.069194,0.002817,0.000404,0.003063,0.003028,0.003180,0.003559,0.004305,0.006025,0.069052,74365.597756,81658.343422,83776.467590,84166.293222,calls/second,milliseconds
1407246198,1792078,0.069194,0.002807,0.000405,0.003061,0.003028,0.003182,0.003540,0.004278,0.005712,0.069052,74579.253299,81658.343422,83776.467590,84166.293222,calls/second,milliseconds
1407246200,1919337,0.069194,0.002813,0.000407,0.003067,0.003026,0.003182,0.003559,0.004362,0.006137,0.069052,72561.247902,81411.748929,83690.481670,84135.312175,calls/second,milliseconds
1407246202,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,71631.933761,81411.748929,83690.481670,84135.312175,calls/second,milliseconds
1407246204,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,66809.642320,81411.748929,83690.481670,84135.312175,calls/second,milliseconds
1407246206,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,62456.576281,76506.237983,82638.742481,83780.318559,calls/second,milliseconds
1407246208,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,58954.627592,76506.237983,82638.742481,83780.318559,calls/second,milliseconds
1407246210,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,54571.953370,70389.136941,81272.844210,83316.162860,calls/second,milliseconds
1407246212,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,52602.733494,70389.136941,81272.844210,83316.162860,calls/second,milliseconds
1407246214,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,50069.603658,70389.136941,81272.844210,83316.162860,calls/second,milliseconds
1407246217,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,46480.464004,64761.132293,79929.522252,82854.578654,calls/second,milliseconds
1407246218,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,45538.810669,64761.132293,79929.522252,82854.578654,calls/second,milliseconds
1407246220,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,43287.535049,59583.118051,78608.403452,82395.551695,calls/second,milliseconds
1407246222,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,41737.436661,59583.118051,78608.403452,82395.551695,calls/second,milliseconds
1407246224,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,40018.557844,59583.118051,78608.403452,82395.551695,calls/second,milliseconds
1407246226,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,37968.637304,54819.114969,77309.120826,81939.067814,calls/second,milliseconds
1407246228,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,37070.345683,54819.114969,77309.120826,81939.067814,calls/second,milliseconds
1407246230,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,35423.084969,50436.020542,76031.313452,81485.112924,calls/second,milliseconds
1407246232,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,34531.299472,50436.020542,76031.313452,81485.112924,calls/second,milliseconds
1407246234,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,33044.646033,46403.378996,74774.626377,81033.673013,calls/second,milliseconds
1407246236,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,32295.197630,46403.378996,74774.626377,81033.673013,calls/second,milliseconds
1407246238,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,30962.934705,46403.378996,74774.626377,81033.673013,calls/second,milliseconds
1407246240,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,30322.252971,42693.169665,73538.710512,80584.734148,calls/second,milliseconds
1407246242,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,29103.566162,42693.169665,73538.710512,80584.734148,calls/second,milliseconds
1407246244,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,28554.365754,39279.612294,72323.222539,80138.282473,calls/second,milliseconds
1407246246,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,27435.062314,39279.612294,72323.222539,80138.282473,calls/second,milliseconds
1407246248,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,26914.193482,39279.612294,72323.222539,80138.282473,calls/second,milliseconds
1407246251,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,25896.844913,36138.987899,71127.824816,79694.304207,calls/second,milliseconds
1407246252,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,25432.785047,36138.987899,71127.824816,79694.304207,calls/second,milliseconds
1407246254,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,24976.426399,33249.473967,69952.185278,79252.785649,calls/second,milliseconds
1407246256,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,24136.124664,33249.473967,69952.185278,79252.785649,calls/second,milliseconds
1407246258,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,23715.039451,33249.473967,69952.185278,79252.785649,calls/second,milliseconds
1407246261,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,22940.063628,30590.992813,68795.977354,78813.713170,calls/second,milliseconds
1407246262,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,22561.934859,30590.992813,68795.977354,78813.713170,calls/second,milliseconds
1407246264,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,22208.572318,28145.072075,67658.879865,78377.073220,calls/second,milliseconds
1407246267,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,21473.399318,28145.072075,67658.879865,78377.073220,calls/second,milliseconds
1407246268,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,21124.653300,28145.072075,67658.879865,78377.073220,calls/second,milliseconds
1407246270,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,20798.738476,25894.716362,66540.576945,77942.852321,calls/second,milliseconds
1407246273,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,20154.796775,25894.716362,66540.576945,77942.852321,calls/second,milliseconds
1407246274,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,19845.926023,23824.289158,65440.757946,77511.037072,calls/second,milliseconds
1407246276,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,19537.902656,23824.289158,65440.757946,77511.037072,calls/second,milliseconds
1407246278,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,18986.667130,21919.404172,64359.117357,77081.614146,calls/second,milliseconds
1407246281,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,18703.707817,21919.404172,64359.117357,77081.614146,calls/second,milliseconds
1407246282,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,18445.291671,21919.404172,64359.117357,77081.614146,calls/second,milliseconds
1407246284,2000003,0.069194,0.002832,0.000407,0.003139,0.003025,0.003182,0.003529,0.004305,0.006318,0.069052,18186.056545,21919.404172,64359.117357,77081.614146,calls/second,milliseconds
