t,value
1407246176,{1407246174=41717; 1407246175=147311; total=189028}
1407246178,{1407246177=74213; 1407246176=90144; total=164357}
1407246180,{1407246178=57316; 1407246179=125893; total=183209}
1407246182,{1407246181=90167; 1407246180=56645; total=146812}
1407246184,{1407246182=104370; 1407246183=50755; total=155125}
1407246186,{1407246184=74206; 1407246185=36339; total=110545}
1407246188,{1407246187=57138; 1407246186=59229; total=116367}
1407246190,{1407246189=87384; 1407246188=48611; total=135995}
1407246192,{1407246190=35525; 1407246191=101136; total=136661}
1407246194,{1407246192=113172; 1407246193=47451; total=160623}
1407246196,{1407246195=86262; 1407246194=97403; total=183665}
1407246198,{1407246196=23916; 1407246197=79617; total=103533}
1407246200,{1407246199=28281; 1407246198=99929; total=128210}
1407246202,{1407246200=40677; total=40677}
1407246204,{total=0}
1407246206,{total=0}
1407246208,{total=0}
1407246210,{total=0}
1407246212,{total=0}
1407246214,{total=0}
1407246217,{total=0}
1407246218,{total=0}
1407246220,{total=0}
1407246222,{total=0}
1407246224,{total=0}
1407246226,{total=0}
1407246228,{total=0}
1407246230,{total=0}
1407246232,{total=0}
1407246234,{total=0}
1407246236,{total=0}
1407246238,{total=0}
1407246240,{total=0}
1407246242,{total=0}
1407246244,{total=0}
1407246246,{total=0}
1407246248,{total=0}
1407246251,{total=0}
1407246252,{total=0}
1407246254,{total=0}
1407246256,{total=0}
1407246258,{total=0}
1407246261,{total=0}
1407246262,{total=0}
1407246264,{total=0}
1407246267,{total=0}
1407246268,{total=0}
1407246270,{total=0}
1407246273,{total=0}
1407246274,{total=0}
1407246276,{total=0}
1407246278,{total=0}
1407246281,{total=0}
1407246282,{total=0}
1407246284,{total=0}
1407246287,{total=0}
1407246288,{total=0}
1407246290,{total=0}
1407246292,{total=0}
1407246295,{total=0}
1407246296,{total=0}
1407246298,{total=0}
1407246301,{total=0}
1407246303,{total=0}
1407246304,{total=0}
1407246306,{total=0}
1407246308,{total=0}
1407246311,{total=0}
1407246312,{total=0}
1407246314,{total=0}
1407246316,{total=0}
1407246319,{total=0}
1407246321,{total=0}
1407246322,{total=0}
1407246324,{total=0}
1407246326,{total=0}
1407246329,{total=0}
1407246331,{total=0}
1407246332,{total=0}
1407246334,{total=0}
1407246336,{total=0}
1407246338,{total=0}
1407246341,{total=0}
1407246343,{total=0}
1407246344,{total=0}
1407246346,{total=0}
1407246348,{total=0}
1407246350,{total=0}
1407246353,{total=0}
1407246355,{total=0}
1407246356,{total=0}
1407246358,{total=0}
1407246360,{total=0}
1407246362,{total=0}
1407246365,{total=0}
1407246367,{total=0}
1407246368,{total=0}
1407246370,{total=0}
1407246372,{total=0}
1407246374,{total=0}
1407246376,{total=0}
1407246379,{total=0}
1407246381,{total=0}
