t,count
1407246176,195588
1407246178,358721
1407246180,537477
1407246182,688358
1407246184,840732
1407246186,952467
1407246188,1071424
1407246190,1206092
1407246192,1338860
1407246194,1503857
1407246196,1683676
1407246198,1786605
1407246200,1915021
1407246202,2000003
1407246204,2000003
1407246206,2000003
1407246208,2000003
1407246210,2000003
1407246212,2000003
1407246214,2000003
1407246217,2000003
1407246218,2000003
1407246220,2000003
1407246222,2000003
1407246224,2000003
1407246226,2000003
1407246228,2000003
1407246230,2000003
1407246232,2000003
1407246234,2000003
1407246236,2000003
1407246238,2000003
1407246240,2000003
1407246242,2000003
1407246244,2000003
1407246246,2000003
1407246248,2000003
1407246251,2000003
1407246252,2000003
1407246254,2000003
1407246256,2000003
1407246258,2000003
1407246261,2000003
1407246262,2000003
1407246264,2000003
1407246267,2000003
1407246268,2000003
1407246270,2000003
1407246273,2000003
1407246274,2000003
1407246276,2000003
1407246278,2000003
1407246281,2000003
1407246282,2000003
1407246284,2000003
1407246287,2000003
1407246288,2000003
1407246290,2000003
1407246292,2000003
1407246295,2000003
1407246296,2000003
1407246298,2000003
1407246301,2000003
1407246303,2000003
1407246304,2000003
1407246306,2000003
1407246308,2000003
1407246311,2000003
1407246312,2000003
1407246314,2000003
1407246316,2000003
1407246319,2000003
1407246321,2000003
1407246322,2000003
1407246324,2000003
1407246326,2000003
1407246329,2000003
1407246331,2000003
1407246332,2000003
1407246334,2000003
1407246336,2000003
1407246338,2000003
1407246341,2000003
1407246343,2000003
1407246344,2000003
1407246346,2000003
1407246348,2000003
1407246350,2000003
1407246353,2000003
1407246355,2000003
1407246356,2000003
1407246358,2000003
1407246360,2000003
1407246362,2000003
1407246365,2000003
1407246367,2000003
1407246368,2000003
1407246370,2000003
1407246372,2000003
1407246374,2000003
1407246376,2000003
1407246379,2000003
1407246381,2000003
