t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407246176,24533,5.169780,0.067076,0.004447,0.236747,0.042302,0.049523,0.085889,0.258938,1.006054,5.132754,11911.969270,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246178,55199,5.169780,0.056493,0.001016,0.216167,0.041649,0.047765,0.065675,0.151124,0.253661,5.132754,13732.178546,0.000000,0.000000,0.000000,calls/second,milliseconds
1407246180,90405,5.169780,0.053713,0.001016,0.213141,0.041912,0.047679,0.059991,0.118308,0.208016,5.132754,14553.952572,14085.800000,14085.800000,14085.800000,calls/second,milliseconds
1407246182,120263,3.893025,0.046100,0.001016,0.130018,0.041651,0.047272,0.058109,0.083347,0.179436,3.810245,15060.081571,14085.800000,14085.800000,14085.800000,calls/second,milliseconds
1407246184,153388,1.038534,0.042054,0.001016,0.049125,0.041762,0.047143,0.056536,0.072730,0.147614,1.038301,15392.990856,14085.800000,14085.800000,14085.800000,calls/second,milliseconds
1407246186,181077,1.038534,0.041480,0.001016,0.037687,0.042011,0.047251,0.055393,0.066750,0.123275,1.017853,15100.532019,14298.929608,14129.858493,14100.567829,calls/second,milliseconds
1407246188,208191,1.038534,0.041141,0.001071,0.037207,0.041912,0.046413,0.054856,0.064967,0.118830,1.017853,14723.449960,14298.929608,14129.858493,14100.567829,calls/second,milliseconds
1407246190,245787,0.325405,0.039595,0.002451,0.019739,0.041648,0.045943,0.054151,0.061216,0.080189,0.323265,15389.554592,14330.533684,14139.186237,14103.856642,calls/second,milliseconds
1407246192,269781,0.325405,0.039516,0.002451,0.019671,0.041538,0.045716,0.053508,0.060404,0.080189,0.323265,15013.220998,14330.533684,14139.186237,14103.856642,calls/second,milliseconds
1407246194,295047,0.325405,0.039422,0.002451,0.019648,0.041249,0.045614,0.053508,0.061216,0.080189,0.323265,14775.526494,14330.533684,14139.186237,14103.856642,calls/second,milliseconds
1407246196,327552,0.325405,0.039078,0.002451,0.018890,0.040914,0.045453,0.052735,0.060404,0.078250,0.323265,14417.831995,14276.409055,14131.160203,14101.362151,calls/second,milliseconds
1407246198,352548,0.325405,0.038987,0.002451,0.018880,0.040938,0.045399,0.052549,0.059340,0.078250,0.323265,14645.458808,14276.409055,14131.160203,14101.362151,calls/second,milliseconds
1407246200,380022,1075.479830,1.084636,0.002451,33.542099,0.040548,0.045381,0.052455,0.059194,0.078250,1044.300352,14343.567761,14315.298728,14141.600290,14105.026618,calls/second,milliseconds
1407246202,406671,1075.479830,1.084741,0.000949,33.542095,0.040753,0.045404,0.052438,0.058563,0.072559,1044.300352,14542.961518,14315.298728,14141.600290,14105.026618,calls/second,milliseconds
1407246204,423843,1075.479830,1.084560,0.000934,33.542101,0.040629,0.045312,0.052388,0.056615,0.068980,1044.300352,14138.130196,14315.298728,14141.600290,14105.026618,calls/second,milliseconds
1407246206,459130,1075.479830,1.084886,0.000934,33.542091,0.040812,0.045432,0.052682,0.058563,0.068980,1044.300352,14318.667970,14037.109361,14086.963523,14086.915713,calls/second,milliseconds
1407246208,477023,1075.479830,1.084857,0.000934,33.542091,0.040682,0.045381,0.052682,0.058563,0.068980,1044.300352,14043.590241,14037.109361,14086.963523,14086.915713,calls/second,milliseconds
1407246210,507810,1075.479830,1.084746,0.000934,33.542095,0.040642,0.045286,0.052455,0.056458,0.063786,1044.300352,13839.878622,14073.784240,14093.720996,14089.180994,calls/second,milliseconds
1407246212,546217,1075.479830,1.083482,0.000934,33.542135,0.039806,0.045080,0.052122,0.056458,0.062597,1044.300352,14350.089163,14073.784240,14093.720996,14089.180994,calls/second,milliseconds
