t,count
1407246176,244742
1407246178,577746
1407246180,960259
1407246182,1264496
1407246184,1619836
1407246186,1934312
1407246188,2235881
1407246190,2618781
1407246192,2879541
1407246194,3138324
1407246196,3481238
1407246198,3731736
1407246200,4011170
1407246202,4299505
1407246204,4475050
1407246206,4873821
1407246208,5065296
1407246210,5393605
1407246212,5667359
1407246214,5852498
1407246217,6217438
1407246218,6423841
1407246220,6619134
1407246222,6958812
1407246224,7133927
1407246226,7379018
1407246228,7410794
1407246230,7481751
1407246232,7540821
1407246234,7585745
1407246236,7633704
1407246238,7688215
1407246240,7720278
1407246242,7792357
1407246244,7825333
1407246246,7897591
1407246248,7929664
1407246251,8003235
1407246252,8035673
1407246254,8067553
1407246256,8140073
1407246258,8173044
1407246261,8246022
1407246262,8278158
1407246264,8309954
1407246267,8381523
1407246268,8412973
1407246270,8444223
1407246273,8514205
1407246274,8544516
1407246276,8574675
1407246278,8629655
1407246281,8673282
1407246282,8703244
1407246284,8732915
1407246287,8798013
1407246288,8827267
1407246290,8855518
1407246292,8899811
1407246295,8947076
1407246296,8973201
1407246298,8999513
1407246301,9062123
1407246303,9089873
1407246304,9118004
1407246306,9145254
1407246308,9191886
1407246311,9235654
1407246312,9263514
1407246314,9291846
1407246316,9318247
1407246319,9379475
1407246321,9405221
1407246322,9431870
1407246324,9458471
1407246326,9484497
1407246329,9544218
1407246331,9569232
1407246332,9594011
1407246334,9618939
1407246336,9644181
1407246338,9693277
1407246341,9725938
1407246343,9749591
1407246344,9773865
1407246346,9798055
1407246348,9822048
1407246350,9863396
1407246353,9902253
1407246355,9925411
1407246356,9948526
1407246358,9972441
1407246360,9995676
1407246362,10034509
1407246365,10073039
1407246367,10096375
1407246368,10118171
1407246370,10140211
1407246372,10161410
1407246374,10183359
1407246376,10205304
1407246379,10256542
1407246381,10277862
